"n","rep","rho_bonobo","rho_lioness","auc_bonobo","auc_lioness"
50,1,-0.428667466986795,0.146602641056423,0.654885654885655,0.338877338877339
50,2,-0.381992797118848,0.27327731092437,0.708939708939709,0.390852390852391
50,3,-0.438175270108043,0.14093637454982,0.833679833679834,0.586278586278586
50,4,-0.471212484993998,0.362400960384154,0.831600831600832,0.378378378378378
50,5,-0.503193277310924,0.224585834333733,0.827442827442827,0.351351351351351
50,6,-0.541416566626651,0.199519807923169,0.727650727650728,0.382536382536383
50,7,-0.608163265306122,-0.0075390156062425,0.798336798336798,0.53014553014553
50,8,-0.565522208883553,0.234669867947179,0.835758835758836,0.434511434511435
50,9,-0.383817527010804,0.430396158463385,0.767151767151767,0.249480249480249
50,10,-0.50828331332533,0.107130852340936,0.758835758835759,0.442827442827443
50,11,-0.296038415366146,0.236494597839136,0.74012474012474,0.382536382536383
50,12,-0.512124849939976,-0.143049219687875,0.785862785862786,0.625779625779626
50,13,-0.511836734693878,0.261944777911164,0.848232848232848,0.442827442827443
50,14,-0.561200480192077,0.172533013205282,0.667359667359667,0.343035343035343
50,15,-0.248115246098439,0.375078031212485,0.711018711018711,0.32016632016632
50,16,-0.510204081632653,-0.0101320528211285,0.675675675675676,0.525987525987526
50,17,-0.42031212484994,0.0543097238895558,0.719334719334719,0.453222453222453
50,18,-0.321584633853541,0.0563265306122449,0.762993762993763,0.536382536382536
50,19,-0.585498199279712,-0.148043217286915,0.731808731808732,0.492723492723493
50,20,-0.551980792316927,-0.110204081632653,0.711018711018711,0.451143451143451
100,1,-0.57032103210321,0.107770777077708,0.792533333333333,0.461333333333333
100,2,-0.498217821782178,0.0460606060606061,0.703466666666667,0.48
100,3,-0.539369936993699,0.130621062106211,0.750933333333333,0.417066666666667
100,4,-0.444536453645365,-0.0408640864086409,0.715733333333333,0.500266666666667
100,5,-0.545574557455746,0.126024602460246,0.837333333333333,0.429333333333333
100,6,-0.464338433843384,0.16994899489949,0.680533333333333,0.399466666666667
100,7,-0.304878487848785,0.342970297029703,0.633066666666667,0.404266666666667
100,8,-0.371449144914491,0.0902490249024902,0.5984,0.435733333333333
100,9,-0.455265526552655,0.105454545454545,0.7248,0.4224
100,10,-0.386234623462346,0.25038103810381,0.688533333333333,0.366933333333333
100,11,-0.346834683468347,0.157023702370237,0.635733333333333,0.4128
100,12,-0.489312931293129,0.029030903090309,0.7744,0.530666666666667
100,13,-0.312739273927393,0.204812481248125,0.701333333333333,0.434666666666667
100,14,-0.493873387338734,0.155643564356436,0.712,0.4192
100,15,-0.439039903990399,0.0892769276927693,0.6992,0.477333333333333
100,16,-0.41039303930393,0.249384938493849,0.7536,0.373333333333333
100,17,-0.377293729372937,0.227170717071707,0.638933333333333,0.324266666666667
100,18,-0.526720672067207,0.223474347434743,0.7504,0.4608
100,19,-0.521224122412241,0.0171017101710171,0.671466666666667,0.4576
100,20,-0.447020702070207,0.207368736873687,0.709333333333333,0.4192
200,1,-0.513621840546014,0.146396159903998,0.7624,0.409466666666667
200,2,-0.429909247731193,0.23948848721218,0.682,0.343866666666667
200,3,-0.412214805370134,0.250072751818796,0.739733333333333,0.380666666666667
200,4,-0.435639390984775,0.050852771319283,0.700266666666667,0.4648
200,5,-0.570533263331583,0.0524833120828021,0.785466666666667,0.466266666666667
200,6,-0.480990024750619,0.216552913822846,0.708933333333333,0.418
200,7,-0.515489387234681,0.135421885547139,0.786533333333333,0.4164
200,8,-0.444743118577965,0.11577589439736,0.6992,0.432133333333333
200,9,-0.499555988899723,0.126279156978925,0.7192,0.43
200,10,-0.522407560189005,0.14787219680492,0.803866666666667,0.379333333333333
200,11,-0.525608640216005,0.068475211880297,0.724533333333333,0.421333333333333
200,12,-0.365256131403285,0.241353033825846,0.654266666666667,0.327333333333333
200,13,-0.532012300307508,-0.0701882547063677,0.8048,0.555466666666667
200,14,-0.444357608940224,0.268818720468012,0.769466666666667,0.400933333333333
200,15,-0.583016575414385,0.0385389634740869,0.768,0.409333333333333
200,16,-0.468373209330233,0.11944048601215,0.7208,0.3996
200,17,-0.392643816095402,0.250110252756319,0.6968,0.373333333333333
200,18,-0.531776794419861,0.177596939923498,0.785866666666667,0.402933333333333
200,19,-0.519978999474987,0.0976314407860197,0.822,0.489866666666667
200,20,-0.503642091052276,0.0923138078451961,0.746133333333333,0.427466666666667
500,1,-0.544077856311425,0.112265153060612,0.769408,0.441557333333333
500,2,-0.457605798423194,0.154381865527462,0.698005333333333,0.417898666666667
500,3,-0.497906279625118,0.147210060840243,0.737173333333333,0.419882666666667
500,4,-0.519275293101172,0.181750519002076,0.753877333333333,0.387776
500,5,-0.483103788415154,0.0925969783879135,0.725418666666667,0.462528
500,6,-0.48563138252553,0.124324337297349,0.738752,0.433706666666667
500,7,-0.504008064032256,0.0977839751359005,0.740501333333333,0.435413333333333
500,8,-0.375661310645243,0.216418849675399,0.654229333333333,0.377834666666667
500,9,-0.453773559094236,0.165852663410654,0.691733333333333,0.387541333333333
500,10,-0.514019368077472,0.123313837255349,0.75552,0.448704
500,11,-0.493754071016284,0.117799959199837,0.755349333333333,0.437610666666667
500,12,-0.474932523730095,0.0730235560942244,0.729322666666667,0.457450666666667
500,13,-0.462844155376621,0.142209016836067,0.674154666666667,0.398485333333333
500,14,-0.469132660530642,0.19636033744135,0.699776,0.395648
500,15,-0.566193272773091,0.0454760539042156,0.797418666666667,0.496789333333333
500,16,-0.469337429349717,0.1345130500522,0.72512,0.439274666666667
500,17,-0.512108288433154,0.173155796623187,0.757674666666667,0.402602666666667
500,18,-0.523384205536822,0.0368343873375494,0.751637333333333,0.450816
500,19,-0.431941151764607,0.157632438529754,0.680234666666667,0.434666666666667
500,20,-0.556279697118789,0.0804825939303757,0.785984,0.451669333333333
