unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu,UDF,stream_order,basin,n_det,mean_log
Basin_Basque_Country_internal_basins,EUS_189,52.23447088174805,371.66338494235646,0.342975999725973,0.0100230683218914,,,Basque Country internal basins,9,-0.2275660381364647
Basin_Basque_Country_internal_basins,EUS_190,61.93797092026325,367.1214959534439,0.3151116505704231,0.0372722381097594,,2.0,Basque Country internal basins,27,-0.0216687822659302
Basin_Basque_Country_internal_basins,EUS_191,98.35117725608194,360.5285472074644,0.2977396907869894,0.233423047040457,,,Basque Country internal basins,49,0.226838924562839
Basin_Basque_Country_internal_basins,EUS_192,51.784716914027285,370.0013287954579,0.3361870499746135,0.0110762920873314,,2.0,Basque Country internal basins,16,-0.1496327691759403
Basin_Basque_Country_internal_basins,EUS_193,52.16491129709391,368.7109481046417,0.3364899303665126,0.0089398076940704,,,Basque Country internal basins,16,-0.1568778739456281
Basin_Basque_Country_internal_basins,EUS_194,78.91583901476572,363.5465858603608,0.3250018071838844,0.023527535832081,,5.0,Basque Country internal basins,22,-0.0725535163325337
Basin_Basque_Country_internal_basins,EUS_195,130.98339627352735,361.0051153885831,0.2933235881154113,1.808443897199938,,5.0,Basque Country internal basins,66,0.4525175904834298
Basin_Basque_Country_internal_basins,EUS_196,137.68440508214988,370.1899506415268,0.3120837721531719,3.638101234451515,16.9,5.0,Basque Country internal basins,84,0.7155334921155984
Basin_Basque_Country_internal_basins,EUS_197,89.86612918981106,361.103990239749,0.297942645275182,0.0974840798357955,14.5,5.0,Basque Country internal basins,55,0.2991485886083757
Basin_Basque_Country_internal_basins,EUS_198,109.8170296336451,361.2944462134417,0.2944543749884848,2.122562737527517,14.5,5.0,Basque Country internal basins,59,0.3634528399205478
Basin_Basque_Country_internal_basins,EUS_199,51.53122648015549,367.6267269154495,0.3146226844821429,0.1042481051994405,,2.0,Basque Country internal basins,29,0.0030376322819766
Basin_Basque_Country_internal_basins,EUS_222,59.815920525354656,370.04219079706246,0.3373765032179822,1.0721249486310391,,3.0,Basque Country internal basins,14,-0.190706184355679
Basin_Basque_Country_internal_basins,EUS_223,98.16395199311631,358.0024921328833,0.2997110207083059,0.2105250483709218,,1.0,Basque Country internal basins,53,0.1485353291649158
Basin_Basque_Country_internal_basins,EUS_224,152.3524934383376,357.50301301955886,0.2821208942059242,1.3683137725640973,15.2,3.0,Basque Country internal basins,63,0.3805794102571682
Basin_Basque_Country_internal_basins,EUS_225,140.97585821254012,355.1712729447106,0.2939234301177053,1.3375537385035057,8.9,3.0,Basque Country internal basins,66,0.3234654315595244
Basin_Basque_Country_internal_basins,EUS_226,79.93194063414548,364.4827555697031,0.3267658431403609,1.4896519046354633,,,Basque Country internal basins,23,-0.1030535126576046
Basin_Basque_Country_internal_basins,EUS_227,94.99968174639967,359.96727630680334,0.3004294974319475,0.3604060739575866,,3.0,Basque Country internal basins,75,0.3767638596895439
Basin_Basque_Country_internal_basins,EUS_228,103.817494054184,358.9412347107684,0.2960129152695362,0.3240618746524508,24.5,3.0,Basque Country internal basins,67,0.3278365387406181
Basin_Basque_Country_internal_basins,EUS_229,192.99231407369024,389.7066074613488,0.4121849538407335,2.033052337010369,16.9,5.0,Basque Country internal basins,124,1.2071589965204954
Basin_Basque_Country_internal_basins,EUS_230,209.6053446114394,371.1492421914453,0.3001243979944278,10.326926019553856,,,Basque Country internal basins,84,0.7676898059237419
Basin_Danube,EUS_001,1212.5390248512656,755.1318503380771,0.1626826287777724,0.6543876470893533,5.0,5.0,Danube,46,0.2399210431742569
Basin_Danube,EUS_002,689.4998720113168,757.7156219627584,0.1850276186531535,0.2282396502959663,0.6,3.0,Danube,39,0.0675850872649696
Basin_Danube,EUS_003,1587.103901524277,805.4532215919068,0.1981654019755033,0.8078211992227314,5.0,5.0,Danube,111,1.0753424926533413
Basin_Danube,EUS_004,940.3598352974298,761.218396541655,0.1665493324669056,0.1879774602229171,5.0,5.0,Danube,68,0.3580368919677585
Basin_Danube,EUS_005,963.7813075792046,758.952789529251,0.1668360675843893,0.0591440399671691,0.0,1.0,Danube,68,0.366424626264023
Basin_Danube,EUS_006,566.2505764995137,775.4614728687009,0.1949260935104589,0.0062338093908522,,1.0,Danube,31,0.0125586786991586
Basin_Danube,EUS_007,282.817762823387,798.3378268715531,0.2127369567806925,0.0804464095353781,0.5,2.0,Danube,18,-0.100144845220468
Basin_Danube,EUS_008,263.30155328701045,800.9574267792802,0.2155810040854654,0.0847408510447066,0.5,3.0,Danube,19,-0.1215770061913796
Basin_Danube,EUS_009,378.75526123999566,783.0746950518167,0.2012869975110346,0.0921907132247131,0.0,1.0,Danube,26,-0.0350278636722289
Basin_Danube,EUS_010,222.62312779011967,809.8854129482363,0.2272389643928886,0.0782217572427017,,2.0,Danube,7,-0.2355685998114919
Basin_Danube,EUS_011,215.14971360800357,808.9826558712646,0.2228834693599061,0.0830186088206453,0.5,3.0,Danube,9,-0.205625354342513
Basin_Danube,EUS_012,308.141010919611,794.8285990015937,0.2136930349989355,0.0841130301786995,5.0,5.0,Danube,20,-0.1257134549180765
Basin_Danube,EUS_013,237.63284294641127,805.3657706619779,0.2241931266475421,0.0791187203392013,0.6,3.0,Danube,9,-0.2123985637316864
Basin_Danube,EUS_051,434.7337071224961,784.0502365887803,0.2006203028611047,0.1515539305627627,0.0,1.0,Danube,20,-0.1279176556217348
Basin_Danube,EUS_082,1345.7569763524757,755.6382750311395,0.174418306648554,1.19554240414162,16.6,4.0,Danube,85,0.6118970641582959
Basin_Danube,EUS_096,762.5648751231229,752.0484649802409,0.1755469767831295,0.086491685368052,0.0,1.0,Danube,55,0.2646412414624924
Basin_Danube,EUS_097,759.1733068951268,767.5454966452143,0.1744877232734172,0.0974516870284118,9.1,5.0,Danube,59,0.3001885849417092
Basin_Danube,EUS_103,459.0343135654904,779.066279616225,0.1998730678105707,0.0891127391947068,0.0,2.0,Danube,24,-0.0816246724874781
Basin_Danube,EUS_104,701.3365736550988,761.5628313879221,0.1891497389424877,0.181945815125964,,2.0,Danube,35,0.030156097558925
Basin_Danube,EUS_105,804.0068590976296,770.2128441418333,0.1694592670503758,0.892971738652728,15.9,3.0,Danube,66,0.3546267092703947
Basin_Danube,EUS_106,897.8875898888615,765.6724546866018,0.1684009685541105,0.8951632811250023,15.9,3.0,Danube,72,0.4375677244794489
Basin_Danube,EUS_107,574.2764336008079,773.6102247707772,0.193558421733601,0.5719985786078498,0.0,1.0,Danube,29,-0.0291877181011162
Basin_Danube,EUS_108,1688.010907885728,769.3878201168499,0.1666737571602372,2.512309309806107,13.7,4.0,Danube,85,0.7313252392781769
Basin_Danube,EUS_109,920.1565274273746,774.6159098180153,0.1740926065765943,1.5120992663951274,7.6,3.0,Danube,85,0.5981336399423118
Basin_Danube,EUS_110,1335.775654037678,798.9416114387498,0.1913065886958145,2.280295374469408,7.6,3.0,Danube,101,0.8758985941923136
