cmpdname,SMILES
Piperine,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
Piperonyl butoxide,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O
Prochloraz,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
Propamocarb,CCCOC(=O)NCCCN(C)C
Propargite,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12
Propyphenazone,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
Propyzamide,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1
Prosulfocarb,CCCN(CCC)C(=O)SCc1ccccc1
Prothioconazole-desthio,OC(Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1
Quinmerac,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1
Quinoline,c1ccc2ncccc2c1
Quinoline N-oxide,[O-][n+]1cccc2ccccc21
Raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
Saccharin,O=C1NS(=O)(=O)c2ccccc21
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
Sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
Sidenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
Simazine,CCNc1nc(Cl)nc(NCC)n1
Simetryn,CCNc1nc(NCC)nc(SC)n1
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
Spinosyn A,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1
Spiroxamine,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1
Sucralose,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
Sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
Sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
Sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
Sulfapyridine,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
Sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
TDCPP,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
TMDD,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C
Tacrolimus,C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
Tebuconazole,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1
Telmisartan,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
Terbuthylazine,CCNc1nc(Cl)nc(NC(C)(C)C)n1
Terbuthylazine-2-hydroxy,CCNc1nc(NC(C)(C)C)[nH]c(=O)n1
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1
Tetraacetylethylenediamine,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O
Tetrabutylammonium,CCCC[N+](CCCC)(CCCC)CCCC
Tetracain,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
Tetraethyleneglycol monobutyl ether,CCCCOCCOCCOCCOCCO
Tetraglyme,COCCOCCOCCOCCOC
Tetramethylthiuram monosulfide,CN(C)C(=S)SC(=S)N(C)C
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
Thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1
Thiacloprid,N#CN=C1SCCN1Cc1ccc(Cl)nc1
Thiacloprid amide,NC(=O)N=C1SCCN1Cc1ccc(Cl)nc1
Thiamethoxam,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-]
Thiophanate-methyl,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
Tri(butoxyethyl) phosphate,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
Triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O
Tributyl phosphate,CC(C)COP(=O)(OCC(C)C)OCC(C)C
Triclocarban,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Tricresylphosphate,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1
Triethyl phosphate,CCOP(=O)(OCC)OCC
Triethylcitrate,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
Trifloxystrobin,CO/N=C(\C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1
Trifloxystrobin CGA 321113,CO/N=C(\C(=O)O)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1
Trifluoromethanesulfonic acid,O=S(=O)(O)C(F)(F)F
Triglyme,COCCOCCOCCOC
Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
Trimethyloctylammonium,CCCCCCCC[N+](C)(C)C
Triphenyl phosphate,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
Triphenylphosphine oxide,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
Tripropyl phosphate,CCCOP(=O)(OCCC)OCCC
Tripropylamine,CCCN(CCC)CCC
Tris(1-chloro-2-propyl) phosphate,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
Tris(2-chloroethyl) phosphate,O=P(OCCCl)(OCCCl)OCCCl
Tris(2-ethylhexyl) phosphate,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
Uvinul A Plus,CCCCCCOC(=O)c1ccccc1C(=O)c1ccc(N(CC)CC)cc1O
Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
Vancomycin,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
Vardenafil,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
epsilon-Caprolactam,O=C1CCCCCN1
m-Xylene-4-sulfonic acid,Cc1ccc(S(=O)(=O)O)c(C)c1
o-Toluidine,Cc1ccccc1N
p-Toluenesulfonamide,Cc1ccc(S(N)(=O)=O)cc1
p-Tolylsulfate,Cc1ccc(OS(=O)(=O)O)cc1
