"cmpdname","SMILES","UseGroup","DTXSID","CAS","InChIKey","n_danube_sites_detected"
"Desethyl-napropamide","CCNC(=O)C(C)Oc1cccc2ccccc12",NA,"DTXSID70589897","38641-90-6","ZYSGLIDSUFDSLC-UHFFFAOYSA-N",2
"Desethylatrazine","CC(C)Nc1nc(N)nc(Cl)n1","pesticide","DTXSID5037494","6190-65-4","DFWFIQKMSFGDCQ-UHFFFAOYSA-N",58
"Desethylterbutylazine","CC(C)(C)Nc1nc(N)nc(Cl)n1","pesticide","DTXSID80184211","30125-63-4","LMKQNTMFZLAJDV-UHFFFAOYSA-N",33
"Desisopropylatrazine","CCNc1nc(N)nc(Cl)n1","pesticide","DTXSID0037495","1007-28-9","IVENSCMCQBJAKW-UHFFFAOYSA-N",1
"Desphenyl chloridazon","Nc1cn[nH]c(=O)c1Cl","pesticide","DTXSID50212792","6339-19-1","FEWPCPCEGBPTAL-UHFFFAOYSA-N",23
"Di-n-butyl phosphate","CCCCOP(=O)(O)OCCCC","plastic additive","DTXSID3040728","107-66-4","JYFHYPJRHGVZDY-UHFFFAOYSA-N",17
"Diacetylethylenediamine","CC(=O)NCCNC(C)=O",NA,"DTXSID70236132","871-78-3","WNYIBZHOMJZDKN-UHFFFAOYSA-N",50
"Diazepam","CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21","pharmaceutical","DTXSID4020406","439-14-5","AAOVKJBEBIDNHE-UHFFFAOYSA-N",3
"Diazinon","CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1","pharmaceutical","DTXSID9020407","333-41-5","FHIVAFMUCKRCQO-UHFFFAOYSA-N",28
"Dichlorprop","CC(Oc1ccc(Cl)cc1Cl)C(=O)O","pesticide","DTXSID0020440","120-36-5","MZHCENGPTKEIGP-UHFFFAOYSA-N",2
"Diclofenac","O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl","pharmaceutical","DTXSID6022923","15307-86-5","DCOPUUMXTXDBNB-UHFFFAOYSA-N",33
"Dicyclohexyl sulfosuccinate","O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)O)OC1CCCCC1","surfactant","DTXSID3047213","137361-04-7","QPSVFNQMURAADJ-UHFFFAOYSA-N",22
"Dicyclohexylurea","O=C(NC1CCCCC1)NC1CCCCC1",NA,"DTXSID3062366","2387-23-7","ADFXKUOMJKEIND-UHFFFAOYSA-N",9
"Diethofencarb","CCOc1ccc(NC(=O)OC(C)C)cc1OCC","biocide","DTXSID5037527","87130-20-9","LNJNFVJKDJYTEU-UHFFFAOYSA-N",2
"Diethyleneglycolmonomethylether","COCCOCCO","industrial","DTXSID3025049","111-77-3","SBASXUCJHJRPEV-UHFFFAOYSA-N",2
"Difenoconazole","CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1","pesticide","DTXSID4032372","119446-68-3","BQYJATMQXGBDHF-UHFFFAOYSA-N",2
"Dimethachlor CGA369873","Cc1cccc(C)c1NC(=O)CS(=O)(=O)O","pesticide","DTXSID901017801","NOCAS_1017801","ZNKNVJGSYJFDHT-UHFFFAOYSA-N",17
"Dimethachlor ESA","COCCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1C","pesticide","DTXSID20891457","NOCAS_891457","RVSCDWJKJDBFRS-UHFFFAOYSA-N",23
"Dimethachlor OA_peak_b","COCCN(C(=O)C(=O)O)c1c(C)cccc1C","pesticide","DTXSID80891458","1086384-49-7","MHGMSAFPNAKIRZ-UHFFFAOYSA-N",4
"Dimethenamid","COCC(C)N(C(=O)CCl)c1c(C)csc1C","pesticide","DTXSID4032376","87674-68-8","JLYFCTQDENRSOL-UHFFFAOYSA-N",34
"Dimethenamid ESA","COCC(C)N(C(=O)CS(=O)(=O)O)c1c(C)csc1C","pesticide","DTXSID50891445","205939-58-8","YMYKMSAZEZQEER-UHFFFAOYSA-N",13
"Dimethenamid OA","COCC(C)N(C(=O)C(=O)O)c1c(C)csc1C","pesticide","DTXSID4037530","380412-59-9","HOYCASTVMCEOTP-UHFFFAOYSA-N",1
"Dimethoate","CNC(=O)CSP(=S)(OC)OC","pesticide","DTXSID7020479","60-51-5","MCWXGJITAZMZEV-UHFFFAOYSA-N",3
"Dimethyl-5-sulfoisophthalate","COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1","industrial","DTXSID9027071","138-25-0","HTXMGVTWXZBZNC-UHFFFAOYSA-N",15
"Dimethylaminophenazone","Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID7020504","58-15-1","RMMXTBMQSGEXHJ-UHFFFAOYSA-N",11
"Dimoxystrobin","CNC(=O)/C(=N/OC)c1ccccc1COc1cc(C)ccc1C","pesticide","DTXSID3057981","149961-52-4","WXUZAHCNPWONDH-DYTRJAOYSA-N",1
"Dinoseb","CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O","pesticide","DTXSID3020207","88-85-7","OWZPCEFYPSAJFR-UHFFFAOYSA-N",4
"Diphenhydramine","CN(C)CCOC(c1ccccc1)c1ccccc1","pharmaceutical","DTXSID4022949","58-73-1","ZZVUWRFHKOJYTH-UHFFFAOYSA-N",4
"Diphenyl phosphate","O=P(O)(Oc1ccccc1)Oc1ccccc1","plastic additive","DTXSID1048207","838-85-7","ASMQGLCHMVWBQR-UHFFFAOYSA-N",24
"Diuron","CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1","biocide","DTXSID0020446","330-54-1","XMTQQYYKAHVGBJ-UHFFFAOYSA-N",22
"Duloxetine","CNCC[C@H](Oc1cccc2ccccc12)c1cccs1","pharmaceutical","DTXSID6048385","116539-59-4","ZEUITGRIYCTCEM-KRWDZBQOSA-N",13
"EDDP","CC=C1N(C)C(C)CC1(c1ccccc1)c1ccccc1","pharmaceutical","DTXSID10880951","30223-73-5","AJRJPORIQGYFMT-UHFFFAOYSA-N",3
"Ebastin","CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1","pharmaceutical","DTXSID6046472","90729-43-4","MJJALKDDGIKVBE-UHFFFAOYSA-N",1
"Enalapril","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O","pharmaceutical","DTXSID5022982","75847-73-3","GBXSMTUPTTWBMN-XIRDDKMYSA-N",7
"Enrofloxacin","CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1","pharmaceutical","DTXSID1045619","93106-60-6","SPFYMRJSYKOXGV-UHFFFAOYSA-N",1
"Ephedrine","CN[C@@H](C)[C@H](O)c1ccccc1","pharmaceutical","DTXSID0022985","299-42-3","KWGRBVOPPLSCSI-WPRPVWTQSA-N",19
"Epoxiconazole","Fc1ccc([C@@]2(Cn3cncn3)O[C@H]2c2ccccc2Cl)cc1","pesticide","DTXSID1040372","133855-98-8","ZMYFCFLJBGAQRS-RXQGYGPJNA-N",4
"Eprosartan","CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1","pharmaceutical","DTXSID0022989","133040-01-4","OROAFUQRIXKEMV-LDADJPATSA-N",1
"Ethofumesate","CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C","pesticide","DTXSID8034580","26225-79-6","IRCMYGHHKLLGHV-UHFFFAOYSA-N",7
"Fenofibrate","CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1","pharmaceutical","DTXSID2029874","49562-28-9","YMTINGFKWWXKFG-UHFFFAOYSA-N",1
"Fenuron","CN(C)C(=O)Nc1ccccc1","pesticide","DTXSID7037551","101-42-8","XXOYNJXVWVNOOJ-UHFFFAOYSA-N",11
"Fipronil","N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F","biocide","DTXSID4034609","120068-37-3","ZOCSXAVNDGMNBV-UHFFFAOYSA-N",15
"Fipronil desulfinyl","N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C(F)(F)F","biocide","DTXSID0043719","205650-65-3","JWKXVHLIRTVXLD-UHFFFAOYSA-N",4
"Fipronil sulfide","N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F","biocide","DTXSID50869644","120067-83-6","FQXWEKADCSXYOC-UHFFFAOYSA-N",1
"Fipronil sulfone","N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F","biocide","DTXSID6074750","120068-36-2","LGHZJDKSVUTELU-UHFFFAOYSA-N",15
"Fluconazole","OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F","pharmaceutical","DTXSID3020627","86386-73-4","RFHAOTPXVQNOHP-UHFFFAOYSA-N",15
"Flufenacet","CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1","pesticide","DTXSID2032552","142459-58-3","IANUJLZYFUDJIH-UHFFFAOYSA-N",16
"Flumequine","CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23","pharmaceutical","DTXSID5045623","42835-25-6","DPSPPJIUMHPXMA-UHFFFAOYSA-N",1
"Flumioxazin","C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21","pesticide","DTXSID7032555","103361-09-7","FOUWCSDKDDHKQP-UHFFFAOYSA-N",1
"Fluoxastrobin","CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F","pesticide","DTXSID2034625","361377-29-9","UFEODZBUAFNAEU-NLRVBDNBSA-N",1
"Fluoxetine","CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1","pharmaceutical","DTXSID7023067","54910-89-3","RTHCYVBBDHJXIQ-UHFFFAOYSA-N",3
"Flurtamone","CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1","pesticide","DTXSID5058228","96525-23-4","NYRMIJKDBAQCHC-UHFFFAOYSA-N",2
"Fluvoxamine","COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1","pharmaceutical","DTXSID2044002","54739-18-3","CJOFXWAVKWHTFT-XSFVSMFZSA-N",34
"Formetanate","CNC(=O)Oc1cccc(N=CN(C)C)c1","biocide","DTXSID9041990","22259-30-9","RMFNNCGOSPBBAD-UHFFFAOYSA-N",24
"Furosemide","NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl","pharmaceutical","DTXSID6020648","54-31-9","ZZUFCTLCJUWOSV-UHFFFAOYSA-N",28
"Gabapentin","NCC1(CC(=O)O)CCCCC1","pharmaceutical","DTXSID0020074","60142-96-3","UGJMXCAKCUNAIE-UHFFFAOYSA-N",40
"Gabapentin-Lactam","O=C1CC2(CCCCC2)CN1","pharmaceutical","DTXSID40215070","64744-50-9","JAWPQJDOQPSNIQ-UHFFFAOYSA-N",95
"Genistein","O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12","food ingredient","DTXSID5022308","446-72-0","TZBJGXHYKVUXJN-UHFFFAOYSA-N",24
"Glimepiride","CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O","pharmaceutical","DTXSID5040675","93479-97-1","WIGIZIANZCJQQY-RUCARUNLSA-N",7
"Guanylurea","N=C(N)NC(N)=O","pharmaceutical","DTXSID3043811","141-83-3","SQSPRWMERUQXNE-UHFFFAOYSA-N",38
"Harman","Cc1nccc2c1[nH]c1ccccc12","food ingredient","DTXSID80197568","486-84-0","PSFDQSOCUJVVGF-UHFFFAOYSA-N",47
"Hexa(methoxymethyl)melamine","COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1","industrial","DTXSID9027520","3089-11-0","BNCADMBVWNPPIZ-UHFFFAOYSA-N",54
"Hexadecylpyridinium","CCCCCCCCCCCCCCCC[n+]1ccccc1","biocide","DTXSID8047979","7773-52-6","NEUSVAOJNUQRTM-UHFFFAOYSA-N",1
"Hexadecyltrimethylammonium","CCCCCCCCCCCCCCCC[N+](C)(C)C","biocide","DTXSID3047978","6899-10-1","RLGQACBPNDBWTB-UHFFFAOYSA-N",3
"Hexazinone","CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C","pesticide","DTXSID4024145","51235-04-2","CAWXEEYDBZRFPE-UHFFFAOYSA-N",6
"Hydrochlorothiazide","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O","pharmaceutical","DTXSID2020713","58-93-5","JZUFKLXOESDKRF-UHFFFAOYSA-N",16
"Icaridin","CCC(C)OC(=O)N1CCCCC1CCO","repellent","DTXSID0034227","119515-38-7","QLHULAHOXSSASE-UHFFFAOYSA-N",26
"Ifosfamide","O=P1(NCCCl)OCCCN1CCCl","pharmaceutical","DTXSID7020760","3778-73-2","HOMGKSMUEGBAAB-UHFFFAOYSA-N",3
"Imazalil","C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl","biocide","DTXSID8024151","35554-44-0","PZBPKYOVPCNPJY-UHFFFAOYSA-N",15
"Imazapyr","CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O","pesticide","DTXSID8034665","81334-34-1","CLQMBPJKHLGMQK-UHFFFAOYSA-N",1
"Imidacloprid","O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1","pesticide","DTXSID5032442","138261-41-3","YWTYJOPNNQFBPC-UHFFFAOYSA-N",26
"Imidacloprid-guanidine","NC1=NCCN1Cc1ccc(Cl)nc1","pesticide","DTXSID90436011","115970-17-7","UEQZFAGVRGWPDK-UHFFFAOYSA-N",3
"Imidacloprid-urea","O=C1NCCN1Cc1ccc(Cl)nc1","pesticide","DTXSID1037563","120868-66-8","ADWTYURAFSWNSU-UHFFFAOYSA-N",3
"Indole-3-acrylic acid","O=C(O)C=Cc1c[nH]c2ccccc12","pharmaceutical","DTXSID90184060","29953-71-7","PLVPPLCLBIEYEA-AATRIKPKSA-N",1
"Irgarol","CSc1nc(NC2CC2)nc(NC(C)(C)C)n1","biocide","DTXSID3032416","28159-98-0","HDHLIWCXDDZUFH-UHFFFAOYSA-N",7
"Isophorone diamine","CC1(C)CC(N)CC(C)(CN)C1","industrial","DTXSID6027503","2855-13-2","RNLHGQLZWXBQNY-UHFFFAOYSA-N",6
"Isophthalic acid","O=C(O)c1cccc(C(=O)O)c1","plastic additive","DTXSID3021485","121-91-5","QQVIHTHCMHWDBS-UHFFFAOYSA-N",3
"Isoproturon","CC(C)c1ccc(NC(=O)N(C)C)cc1","pesticide","DTXSID1042077","34123-59-6","PUIYMUZLKQOUOZ-UHFFFAOYSA-N",26
"Isoxaben","CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1","pesticide","DTXSID8024159","82558-50-7","PMHURSZHKKJGBM-UHFFFAOYSA-N",1
"Ketamine","CNC1(c2ccccc2Cl)CCCCC1=O","pharmaceutical","DTXSID8023187","6740-88-1","YQEZLKZALYSWHR-UHFFFAOYSA-N",3
"Ketoprofen","CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1","pharmaceutical","DTXSID6020771","22071-15-4","DKYWVDODHFEZIM-UHFFFAOYSA-N",23
"Kresoxim-methyl","CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C","pesticide","DTXSID2032558","143390-89-0","ZOTBXTZVPHCKPN-HTXNQAPBSA-N",5
"Labetalol","CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1","pharmaceutical","DTXSID2023191","36894-69-6","SGUAFYQXFOLMHL-UHFFFAOYSA-N",5
"Lamotrigine","Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1","pharmaceutical","DTXSID2023195","84057-84-1","PYZRQGJRPPTADH-UHFFFAOYSA-N",69
"Lauric isopropanolamide","CCCCCCCCCCCC(=O)NCC(C)O","surfactant","DTXSID00861815","142-54-1","MMBILEWCGWTAOV-UHFFFAOYSA-N",4
"Lauryl diethanolamide","CCCCCCCCCCCC(=O)N(CCO)CCO","surfactant","DTXSID5025491","120-40-1","AOMUHOFOVNGZAN-UHFFFAOYSA-N",37
"Lenacil","O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2","pesticide","DTXSID9042093","2164-08-1","ZTMKADLOSYKWCA-UHFFFAOYSA-N",5
"Lidocaine","CCN(CC)CC(=O)Nc1c(C)cccc1C","pharmaceutical","DTXSID1045166","137-58-6","NNJVILVZKWQKPM-UHFFFAOYSA-N",31
"Lincomycin","CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1","pharmaceutical","DTXSID3023215","154-21-2","OJMMVQQUTAEWLP-KIDUDLJLSA-N",1
"Loperamide","CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1","pharmaceutical","DTXSID6045165","53179-11-6","RDOIQAHITMMDAJ-UHFFFAOYSA-N",4
"Lorazepam","O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O","pharmaceutical","DTXSID7023225","846-49-1","DIWRORZWFLOCLC-UHFFFAOYSA-N",6
"Losartan","CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1","pharmaceutical","DTXSID7023227","114798-26-4","PSIFNNKUMBGKDQ-UHFFFAOYSA-N",45
"Losartan Carboxylic acid","CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1","pharmaceutical","DTXSID80154474","124750-92-1","ZEUXAIYYDDCIRX-UHFFFAOYSA-N",35
"MCPA","Cc1cc(Cl)ccc1OCC(=O)O","pesticide","DTXSID4024195","94-74-6","WHKUVVPPKQRRBV-UHFFFAOYSA-N",21
"Mebendazole","COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1","pharmaceutical","DTXSID4040682","31431-39-7","OPXLLQIJSORQAM-UHFFFAOYSA-N",8
"Mecoprop","Cc1cc(Cl)ccc1OC(C)C(=O)O","pesticide","DTXSID9024194","93-65-2","WNTGYJSOUMFZEP-UHFFFAOYSA-N",8
"Mefenamic acid","Cc1cccc(Nc2ccccc2C(=O)O)c1C","pharmaceutical","DTXSID5023243","61-68-7","HYYBABOKPJLUIN-UHFFFAOYSA-N",2
"Melamine","Nc1nc(N)nc(N)n1","industrial","DTXSID6020802","108-78-1","JDSHMPZPIAZGSV-UHFFFAOYSA-N",48
"Melatonin","COc1ccc2[nH]cc(CCNC(C)=O)c2c1","human metabolite","DTXSID1022421","73-31-4","DRLFMBDRBRZALE-UHFFFAOYSA-N",5
"Melperon","CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1","pharmaceutical","DTXSID0023298","3575-80-2","DKMFBWQBDIGMHM-UHFFFAOYSA-N",2
"Memantine","CC12CC3CC(C)(C1)CC(N)(C3)C2","pharmaceutical","DTXSID5045174","19982-08-2","BUGYDGFZZOZRHP-UHFFFAOYSA-N",16
"Mepiquat","C[N+]1(C)CCCCC1","pesticide","DTXSID9042122","15302-91-7","NNCAWEWCFVZOGF-UHFFFAOYSA-N",70
"Metalaxyl","COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC","pesticide","DTXSID6024175","57837-19-1","ZQEIXNIJLIKNTD-UHFFFAOYSA-N",26
"Metalaxyl CGA108906","COCC(=O)N(c1c(C)cccc1C(=O)O)C(C)C(=O)O",NA,"a",NA,"b",4
"Metamitron-desamino","Cc1nnc(-c2ccccc2)c(=O)[nH]1",NA,"DTXSID30190483","36993-94-9","OUSYWCQYMPDAEO-UHFFFAOYSA-N",11
"Metazachlor","Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl","pesticide","DTXSID4058156","67129-08-2","STEPQTYSZVCJPV-UHFFFAOYSA-N",7
"Metazachlor BH479-12","Cc1cccc(C(=O)O)c1N(Cn1cccn1)C(=O)C(=O)O","pesticide","DTXSID801017810","1367578-41-3","DFJUHFNLKWOTIZ-UHFFFAOYSA-N",6
"Metazachlor ESA","Cc1cccc(C)c1N(Cn1cccn1)C(=O)CS(=O)(=O)O","pesticide","DTXSID40891454","172960-62-2","IPVCSECPEVHQOV-UHFFFAOYSA-N",57
"Metazachlor OA","Cc1cccc(C)c1N(Cn1cccn1)C(=O)C(=O)O","pesticide","DTXSID00891455","1231244-60-2","PHMHHVKFXZNTKU-UHFFFAOYSA-N",10
"Metformin","CN(C)C(=N)N=C(N)N","pharmaceutical","DTXSID2023270","657-24-9","XZWYZXLIPXDOLR-UHFFFAOYSA-N",93
"Methadone","CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1","stimulans","DTXSID7023273","76-99-3","USSIQXCVUWKGNF-UHFFFAOYSA-N",10
"Methamphetamine","CN[C@H](C)Cc1ccccc1","stimulans","DTXSID8037128","537-46-2","MYWUZJCMWCOHBA-VIFPVBQESA-N",19
"Methenamine","C1N2CN3CN1CN(C2)C3","pharmaceutical","DTXSID6020692","100-97-0","VKYKSIONXSXAKP-UHFFFAOYSA-N",2
"Methimazol","Cn1cc[nH]c1=S","pharmaceutical","DTXSID4020820","60-56-0","PMRYVIKBURPHAH-UHFFFAOYSA-N",1
"Methiocarb sulfone","CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1","pesticide","DTXSID3042138","2179-25-1","RJBJMKAMQIOAML-UHFFFAOYSA-N",2
"Methiocarb-sulfoxide phenol","Cc1cc(O)cc(C)c1S(C)=O","pesticide","DTXSID20865052","22454-92-8","ZHBBDQFXEDCQFI-UHFFFAOYSA-N",1
"Methocarbamol","COc1ccccc1OCC(O)COC(N)=O","pharmaceutical","DTXSID6023286","532-03-6","GNXFOGHNGIVQEH-UHFFFAOYSA-N",12
"Methomyl","CNC(=O)O/N=C(\C)SC","pesticide","DTXSID1022267","16752-77-5","UHXUZOCRWCRNSJ-UHFFFAOYSA-N",5
"Methyl diethanolamine","CN(CCO)CCO","sweetener","DTXSID8025591","105-59-9","CRVGTESFCCXCTH-UHFFFAOYSA-N",2
"Methylchloroisothiazolinone","Cn1sc(Cl)cc1=O","biocide","DTXSID9034286","26172-55-4","DHNRXBZYEKSXIM-UHFFFAOYSA-N",1
"Methyldesphenylchloridazon","Cn1ncc(N)c(Cl)c1=O","pesticide","DTXSID80891453","17254-80-7","XNSGCNYTNLWRKM-UHFFFAOYSA-N",61
"Metobromuron","CON(C)C(=O)Nc1ccc(Br)cc1","pesticide","DTXSID6042157","3060-89-7","WLFDQEVORAMCIM-UHFFFAOYSA-N",1
"Metolachlor","CCc1cccc(C)c1N(C(=O)CCl)C(C)COC","pesticide","DTXSID4022448","51218-45-2","WVQBLGZPHOPPFO-UHFFFAOYSA-N",70
"Metolachlor CGA 357704","CCc1cccc(C)c1N(C(=O)C(=O)O)[C@@H](C)C(=O)O","pesticide","DTXSID70746827","1217465-10-5","IMFSUYMDPTXKCC-VIFPVBQESA-N",21
"Metolachlor CGA 368208","CCc1cccc(C)c1NC(=O)CS(=O)(=O)O","pesticide","DTXSID401017913","446027-17-4","QPVPJECIHVSBLZ-UHFFFAOYSA-N",8
"Metolachlor ESA","CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)C(C)COC","pesticide","DTXSID1037567","171118-09-5","CIGKZVUEZXGYSV-UHFFFAOYSA-N",117
"Metolachlor OA","CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC","pesticide","DTXSID6037568","152019-73-3","LNOOSYCKMKZOJB-UHFFFAOYSA-N",76
"Metolachlor-NOA 413173","CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)[C@@H](C)C(=O)O","pesticide","DTXSID901016160","1418095-19-8","WOXWIWNBIJDJHI-JTQLQIEISA-N",56
"Metoprolol","COCCc1ccc(OCC(O)CNC(C)C)cc1","pharmaceutical","DTXSID2023309","51384-51-1","IUBSYMUCCVWXPE-UHFFFAOYSA-N",68
"Metoprolol acid","CC(C)NCC(O)COc1ccc(CC(=O)O)cc1","pharmaceutical","DTXSID70881080","56392-14-4","PUQIRTNPJRFRCZ-UHFFFAOYSA-N",79
"Metribuzin","CSc1nnc(C(C)(C)C)c(=O)n1N","pesticide","DTXSID6024204","21087-64-9","FOXFZRUHNHCZPX-UHFFFAOYSA-N",4
"Mirtazapine","CN1CCN2c3ncccc3Cc3ccccc3C2C1","pharmaceutical","DTXSID0023325","61337-67-5","RONZAEMNMFQXRA-UHFFFAOYSA-N",3
"Monensin","CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1","pharmaceutical","DTXSID4048561","17090-79-8","GAOZTHIDHYLHMS-KEOBGNEYSA-N",1
"Myclobutanil","CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1","pesticide","DTXSID8024315","88671-89-0","HZJKXKUJVSEEFU-UHFFFAOYSA-N",4
"Mycophenolic acid","COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2","pharmaceutical","DTXSID4041070","24280-93-1","HPNSFSBZBAHARI-RUDMXATFSA-N",13
"N,N-Dimethyldecan-1-amide","CCCCCCCCCC(=O)N(C)C",NA,"DTXSID1027764","14433-76-2","HNXNKTMIVROLTK-UHFFFAOYSA-N",20
"N,N-Dimethyldecylamine","CCCCCCCCCCN(C)C","surfactant","DTXSID1049566","1120-24-7","YWWNNLPSZSEZNZ-UHFFFAOYSA-N",1
"N,N-Dimethyldodecylamine","CCCCCCCCCCCCN(C)C","surfactant","DTXSID1026906","112-18-5","YWFWDNVOPHGWMX-UHFFFAOYSA-N",5
"N,N-Dimethyldodecylamine N-oxide","CCCCCCCCCCCC[N+](C)(C)[O-]","surfactant","DTXSID1020514","1643-20-5","SYELZBGXAIXKHU-UHFFFAOYSA-N",2
"N-Acetyl-4-aminoantipyrine","CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O","pharmaceutical","DTXSID40232106","83-15-8","OIAGWXKSCXPNNZ-UHFFFAOYSA-N",117
"N-Butylbenzenesulfonamide","CCCCNS(=O)(=O)c1ccccc1","industrial","DTXSID7027540","3622-84-2","IPRJXAGUEGOFGG-UHFFFAOYSA-N",28
"N-Cyclohexyl-2-benzothiazole-amine","c1ccc2sc(NC3CCCCC3)nc2c1","rubber additive","DTXSID50891506","28291-75-0","UPWPIFMHSFSVLE-UHFFFAOYSA-N",10
"N-Ethyl-3-methylbenzamide","CCNC(=O)c1cccc(C)c1","repellent","DTXSID50181313","26819-07-8","FPINATACRXASTP-UHFFFAOYSA-N",36
"N-Ethyl-o-toluenesulfonamide","CCNS(=O)(=O)c1ccccc1C","industrial","DTXSID5052416","1077-56-1","NATWUQFQFMZVMT-UHFFFAOYSA-N",38
"N-Formyl-4-aminoantipyrine","Cc1c(NC=O)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID10168241","1672-58-8","WSJBSKRPKADYRQ-UHFFFAOYSA-N",108
"N-Lauroylethanolamine","CCCCCCCCCCCC(=O)NCCO",NA,"DTXSID5025493","142-78-9","QZXSMBBFBXPQHI-UHFFFAOYSA-N",21
"N-Methyl-dicyclohexylamine","CN(C1CCCCC1)C1CCCCC1","industrial","DTXSID6044727","7560-83-0","GSCCALZHGUWNJW-UHFFFAOYSA-N",3
"N-Methyldodecylamine","CCCCCCCCCCCCNC","surfactant","DTXSID90223387","7311-30-0","OMEMQVZNTDHENJ-UHFFFAOYSA-N",5
