"cmpdname","SMILES","UseGroup","DTXSID","CAS","InChIKey","n_danube_sites_detected"
"2-Aminobenzimidazole","Nc1nc2ccccc2[nH]1","pesticide","DTXSID1024465","934-32-7","JWYUFVNJZUSCSM-UHFFFAOYSA-N",7
"2-Benzothiazolesulfonic acid","O=S(=O)(O)c1nc2ccccc2s1","rubber additive","DTXSID80240528","941-57-1","ZCXGMSGCBDSEOY-UHFFFAOYSA-N",49
"2-Hydroxyatrazine","CCNc1nc(NC(C)C)[nH]c(=O)n1","pesticide","DTXSID6037807","2163-68-0","NFMIMWNQWAWNDW-UHFFFAOYSA-N",71
"2-Hydroxybenzothiazole","Oc1nc2ccccc2s1","rubber additive","DTXSID6061315","934-34-9","YEDUAINPPJYDJZ-UHFFFAOYSA-N",9
"2-Hydroxycarbamazepine","NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21","pharmaceutical","DTXSID20218201","68011-66-5","VPZIYMMSJFWLSP-UHFFFAOYSA-N",80
"2-Hydroxydesethylterbuthylazine","CC(C)(C)Nc1nc(N)nc(O)n1","pesticide","DTXSID60216887","66753-06-8","NUISVCFZNCYUIM-UHFFFAOYSA-N",15
"2-Hydroxyquinoline","O=c1ccc2ccccc2[nH]1","industrial","DTXSID1058769","59-31-4","LISFMEBWQUVKPJ-UHFFFAOYSA-N",29
"2-Isopropyl-6-methyl-pyrimidin-4-ol","Cc1cc(=O)[nH]c(C(C)C)n1","biocide","DTXSID1027502","2814-20-2","AJPIUNPJBFBUKK-UHFFFAOYSA-N",36
"2-Isopropylthioxanthone","CC(C)c1ccc2sc3ccccc3c(=O)c2c1","industrial","DTXSID1044691","5495-84-1","KTALPKYXQZGAEG-UHFFFAOYSA-N",2
"2-Methylbenzothiazole","Cc1nc2ccccc2s1","industrial","DTXSID8049208","120-75-2","DXYYSGDWQCSKKO-UHFFFAOYSA-N",2
"2-Naphthalene sulfonic acid","O=S(=O)(O)c1ccc2ccccc2c1","industrial","DTXSID5044788","120-18-3","KVBGVZZKJNLNJU-UHFFFAOYSA-N",28
"2-Naphthol-8-sulfonic acid","O=S(=O)(O)c1cccc2ccc(O)cc12","industrial","DTXSID9059626","132-57-0","HUYJTJXLNBOVFO-UHFFFAOYSA-N",2
"2-Octyl-4-isothiazolin-3-one","CCCCCCCCn1sccc1=O","biocide","DTXSID1025805","26530-20-1","JPMIIZHYYWMHDT-UHFFFAOYSA-N",2
"3,5,6-Trichloro-2-pyridinol","Oc1nc(Cl)c(Cl)cc1Cl","pesticide","DTXSID7038317","6515-38-4","WCYYAQFQZQEUEN-UHFFFAOYSA-N",1
"3-Cyclohexyl-1,1-dimethylurea","CN(C)C(=O)NC1CCCCC1",NA,"DTXSID60404681","31468-12-9","PZWXYRDNQYUIIU-UHFFFAOYSA-N",5
"4'-Aminoacetanilide","CC(=O)Nc1ccc(N)cc1","industrial","DTXSID7024455","122-80-5","CHMBIJAOCISYEW-UHFFFAOYSA-N",106
"4,4'-Methylene-bis(2-methyl aniline)","Cc1cc(Cc2ccc(N)c(C)c2)ccc1N","industrial","DTXSID5020867","838-88-0","WECDUOXQLAIPQW-UHFFFAOYSA-N",5
"4-(Dimethylamino)pyridine","CN(C)c1cc[nH+]cc1","industrial","DTXSID0044369","1122-58-3","VHYFNPMBLIVWCW-UHFFFAOYSA-N",44
"4-Aminoantipyrine","Cc1c(N)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID8048860","83-07-8","RLFWWDJHLFCNIJ-UHFFFAOYSA-N",20
"4-Aminobenzamide","NC(=O)c1ccc(N)cc1","industrial","DTXSID7038814","2835-68-9","QIKYZXDTTPVVAC-UHFFFAOYSA-N",13
"4-Fluorobenzoylpropionic acid","O=C(O)CCC(=O)c1ccc(F)cc1","pharmaceutical","DTXSID30190084","366-77-8","WUYWHIAAQYQKPP-UHFFFAOYSA-N",1
"4-Formyl-antipyrine","Cc1c(C=O)c(=O)n(-c2ccccc2)n1C","pharmaceutical","DTXSID10241720","950-81-2","QFYZFYDOEJZMDX-UHFFFAOYSA-N",9
"4-Hydroxybenzotriazole","Oc1cccc2[nH]nnc12","corrosion inhibitor","DTXSID90374722","26725-51-9","JMTMSDXUXJISAY-UHFFFAOYSA-N",5
"4-Hydroxyquinoline","O=c1cc[nH]c2ccccc12","industrial","DTXSID50209980","611-36-9","PMZDQRJGMBOQBF-UHFFFAOYSA-N",28
"4-Hydroxytamoxifen","CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1","pharmaceutical","DTXSID3037094","68392-35-8","TXUZVZSFRXZGTL-UHFFFAOYSA-N",2
"4-Methylbenzylidene camphor","Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1","UV filter","DTXSID8047896","36861-47-9","HEOCBCNFKCOKBX-UHFFFAOYSA-N",5
"4-Nitroguaiacol","COc1cc([N+](=O)[O-])ccc1O",NA,"DTXSID4062935","3251-56-7","IZLVFLOBTPURLP-UHFFFAOYSA-N",1
"4-Nitroquinoline-1-oxide","O=[N+]([O-])c1cc[n+]([O-])c2ccccc12","industrial","DTXSID5025780","56-57-5","YHQDZJICGQWFHK-UHFFFAOYSA-N",4
"5-Chlorobenzotriazole","Clc1ccc2n[nH]nc2c1","corrosion inhibitor","DTXSID0047450","94-97-3","PZBQVZFITSVHAW-UHFFFAOYSA-N",1
"5-Methyl-1H-benzotriazole","Cc1ccc2n[nH]nc2c1","corrosion inhibitor","DTXSID1038743","136-85-6","LRUDIIUSNGCQKF-UHFFFAOYSA-N",107
"6:2 fluorotelomer sulfonic acid","O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","PFC","DTXSID6067331","27619-97-2","VIONGDJUYAYOPU-UHFFFAOYSA-N",25
"7-(Ethylamino)-4-methylcoumarin","CCNc1ccc2c(C)cc(=O)oc2c1","dye","DTXSID1067417","28821-18-3","OTNIKUTWXUODJZ-UHFFFAOYSA-N",7
"7-Amino-4-methylcoumarin","Cc1cc(=O)oc2cc(N)ccc12","dye","DTXSID40885333","26093-31-2","GLNDAGDHSLMOKX-UHFFFAOYSA-N",23
"7-Diethylamino-4-methylcoumarin","CCN(CC)c1ccc2c(C)cc(=O)oc2c1","dye","DTXSID9025035","91-44-1","AFYCEAFSNDLKSX-UHFFFAOYSA-N",7
"Acesulfame","CC1=CC(=O)NS(=O)(=O)O1","sweetener","DTXSID0048006","33665-90-6","YGCFIWIQZPHFLU-UHFFFAOYSA-N",113
"Acetaminophen","CC(=O)Nc1ccc(O)cc1","pharmaceutical","DTXSID2020006","103-90-2","RZVAJINKPMORJF-UHFFFAOYSA-N",21
"Acetamiprid","CC(=NC#N)N(C)Cc1ccc(Cl)nc1","pesticide","DTXSID0034300","135410-20-7","WCXDHFDTOYPNIE-RIYZIHGNSA-N",15
"Acetyl-sulfamethoxazole","CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1","pharmaceutical","DTXSID8049044","21312-10-7","GXPIUNZCALHVBA-UHFFFAOYSA-N",43
"Acridone","O=c1c2ccccc2[nH]c2ccccc12","industrial","DTXSID8060371","578-95-0","FZEYVTFCMJSGMP-UHFFFAOYSA-N",18
"Acyclovir","Nc1nc2c(ncn2COCCO)c(=O)[nH]1","pharmaceutical","DTXSID1022556","59277-89-3","MKUXAQIIEYXACX-UHFFFAOYSA-N",1
"Albendazole","CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1","pharmaceutical","DTXSID0022563","54965-21-8","HXHWSAZORRCQMX-UHFFFAOYSA-N",2
"Amantadine","NC12CC3CC(CC(C3)C1)C2","pharmaceutical","DTXSID8022117","768-94-5","DKNWSYNQZKUICI-UHFFFAOYSA-N",47
"Ametryn","CCNc1nc(NC(C)C)nc(SC)n1","pesticide","DTXSID1023869","834-12-8","RQVYBGPQFYCBGX-UHFFFAOYSA-N",6
"Amidosulfobetaine-14","CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-]","surfactant","DTXSID50398742","216667-08-2","UTSXERRKRAEDOV-UHFFFAOYSA-N",3
"Amisulpride","CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC","pharmaceutical","DTXSID5042613","71675-85-9","NTJOBXMMWNYJFB-UHFFFAOYSA-N",8
"Amitriptyline","CN(C)CCC=C1c2ccccc2CCc2ccccc21","pharmaceutical","DTXSID7022594","50-48-6","KRMDCWKBEZIMAB-UHFFFAOYSA-N",1
"Amphetamine","C[C@H](N)Cc1ccccc1","stimulans","DTXSID4022600","300-62-9","KWTSXDURSIMDCE-UHFFFAOYSA-N",13
"Anastrozole","CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1","pharmaceutical","DTXSID9022607","120511-73-1","YBBLVLTVTVSKRW-UHFFFAOYSA-N",24
"Atenolol","CC(C)NCC(O)COc1ccc(CC(N)=O)cc1","pharmaceutical","DTXSID2022628","29122-68-7","METKIMKYRPQLGS-UHFFFAOYSA-N",35
"Atorvastatin","CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O","pharmaceutical","DTXSID8029868","134523-00-5","XUKUURHRXDUEBC-KAYWLYCHSA-N",5
"Atrazine","CCNc1nc(Cl)nc(NC(C)C)n1","pesticide","DTXSID9020112","1912-24-9","MXWJVTOOROXGIU-UHFFFAOYSA-N",75
"Azelaic acid","O=C(O)CCCCCCCC(=O)O","food ingredient","DTXSID8021640","123-99-9","BDJRBEYXGGNYIS-UHFFFAOYSA-N",1
"Azithromycin","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O","pharmaceutical","DTXSID8030760","83905-01-5","MQTOSJVFKKJCRP-BICOPXKESA-N",4
"Azoxystrobin","CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1","pesticide","DTXSID0032520","131860-33-8","WFDXOXNFNRHQEC-GHRIWEEISA-N",20
"Azoxystrobin acid","CO/C=C(/C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1","pesticide","DTXSID10891507","1185255-09-7","IKCXDZCEWZARFL-FOWTUZBSSA-N",7
"Benalaxyl","COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C","pesticide","DTXSID3041619","71626-11-4","CJPQIRJHIZUAQP-UHFFFAOYSA-N",1
"Bendiocarb","CNC(=O)Oc1cccc2c1OC(C)(C)O2","biocide","DTXSID9032327","22781-23-3","XEGGRYVFLWGFHI-UHFFFAOYSA-N",2
"Bentazone","CC(C)N1C(=O)c2ccccc2NS1(=O)=O","pesticide","DTXSID0023901","25057-89-0","ZOMSMJKLGFBRBS-UHFFFAOYSA-N",94
"Benzenesulfonic acid","O=S(=O)(O)c1ccccc1","industrial","DTXSID9024568","98-11-3","SRSXLGNVWSONIS-UHFFFAOYSA-N",15
"Benzidine","Nc1ccc(-c2ccc(N)cc2)cc1","industrial","DTXSID2020137","92-87-5","HFACYLZERDEVSX-UHFFFAOYSA-N",14
"Benzimidazole","c1ccc2[nH]cnc2c1","pharmaceutical","DTXSID8024573","51-17-2","HYZJCKYKOHLVJF-UHFFFAOYSA-N",48
"Benzocain","CCOC(=O)c1ccc(N)cc1","pharmaceutical","DTXSID8021804","94-09-7","BLFLLBZGZJTVJG-UHFFFAOYSA-N",10
"Benzophenone-3","COc1ccc(C(=O)c2ccccc2)c(O)c1","UV filter","DTXSID3022405","131-57-7","DXGLGDHPHMLXJC-UHFFFAOYSA-N",2
"Benzophenone-4","COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O","UV filter","DTXSID2042436","4065-45-6","CXVGEDCSTKKODG-UHFFFAOYSA-N",103
"Benzothiazole","c1ccc2scnc2c1","rubber additive","DTXSID7024586","95-16-9","IOJUPLGTWVMSFF-UHFFFAOYSA-N",3
"Benzoylecgonin","CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2","stimulans","DTXSID7046758","519-09-5","GVGYEFKIHJTNQZ-RFQIPJPRSA-N",25
"Benzyldimethyldodecylammonium","CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1","biocide","DTXSID60872947","10328-35-5","CYDRXTMLKJDRQH-UHFFFAOYSA-N",2
"Bezafibrate","CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O","pharmaceutical","DTXSID3029869","41859-67-0","IIBYAHWJQTYFKB-UHFFFAOYSA-N",3
"Bicalutamide","CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1","pharmaceutical","DTXSID2022678","90357-06-5","LKJPYSCBVHEWIU-UHFFFAOYSA-N",31
"Bifenox free acid","O=C(O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]","pesticide","DTXSID9073547","53774-07-5","IUSYSZLVZMUVDO-UHFFFAOYSA-N",1
"Bisoprolol","CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1","pharmaceutical","DTXSID6022682","66722-44-9","VHYCDWMUTMEGQY-UHFFFAOYSA-N",62
"Bisphenol S","O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1","industrial","DTXSID3022409","80-09-1","VPWNQTHUCYMVMZ-UHFFFAOYSA-N",37
"Boscalid","O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl","pesticide","DTXSID6034392","188425-85-6","WYEMLYFITZORAB-UHFFFAOYSA-N",1
"Bupirimate","CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C","pesticide","DTXSID6041688","41483-43-6","DSKJPMWIHSOYEA-UHFFFAOYSA-N",1
"Caffeine","Cn1c(=O)c2c(ncn2C)n(C)c1=O","stimulans","DTXSID0020232","58-08-2","RYYVLZVUVIJVGH-UHFFFAOYSA-N",63
"Candesartan","CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1","pharmaceutical","DTXSID0022725","139481-59-7","HTQMVQVXFRQIKW-UHFFFAOYSA-N",81
"Capecitabine","CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F","pharmaceutical","DTXSID3046451","154361-50-9","GAGWJHPBXLXJQN-UORFTKCHSA-N",2
"Carbamazepine","NC(=O)N1c2ccccc2C=Cc2ccccc21","pharmaceutical","DTXSID4022731","298-46-4","FFGPTBGBLSHEPO-UHFFFAOYSA-N",120
"Carbendazim","COC(=O)Nc1nc2ccccc2[nH]1","biocide","DTXSID4024729","10605-21-7","TWFZGCMQGLPBSX-UHFFFAOYSA-N",54
"Carbetamide","CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1","pesticide","DTXSID7041756","16118-49-3","AMRQXHFXNZFDCH-SECBINFHSA-N",5
"Celecoxib","Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1","pharmaceutical","DTXSID0022777","169590-42-5","RZEKVGVHFLEQIL-UHFFFAOYSA-N",7
"Cetirizine","O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1","pharmaceutical","DTXSID4022787","83881-51-0","ZKLPARSLTMPFCP-UHFFFAOYSA-N",42
"Chenodeoxycholic acid","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","human metabolite","DTXSID2020260","474-25-9","RUDATBOHQWOJDD-BSWAIDMHSA-N",10
"Chloramphenicol","O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl","pharmaceutical","DTXSID7020265","56-75-7","WIIZWVCIJKGZOK-RKDXNWHRSA-N",3
"Chloridazon","Nc1cnn(-c2ccccc2)c(=O)c1Cl","pesticide","DTXSID3034872","1698-60-8","WYKYKTKDBLFHCY-UHFFFAOYSA-N",3
"Chlormequat","C[N+](C)(C)CCCl","pesticide","DTXSID4048064","7003-89-6","JUZXDNPBRPUIOR-UHFFFAOYSA-N",4
"Chlorothalonil-4-hydroxy","N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl","pesticide","DTXSID90182586","28343-61-5","MDQKYGOECVSPIW-UHFFFAOYSA-N",12
"Chlorotoluron","Cc1ccc(NC(=O)N(C)C)cc1Cl","pesticide","DTXSID8052853","15545-48-9","JXCGFZXSOMJFOA-UHFFFAOYSA-N",10
"Cholic acid","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","human metabolite","DTXSID6040660","81-25-4","BHQCQFFYRZLCQQ-OELDTZBJSA-N",10
"Cimetidine","CN=C(NC#N)NCCSCc1nc[nH]c1C","pharmaceutical","DTXSID4020329","51481-61-9","AQIXAKUUQRKLND-UHFFFAOYSA-N",1
"Citalopram","CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21","pharmaceutical","DTXSID8022826","59729-33-8","WSEQXVZVJXJVFP-UHFFFAOYSA-N",24
"Clarithromycin","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O","pharmaceutical","DTXSID3022829","81103-11-9","AGOYDEPGAOXOCK-KCBOHYOISA-N",39
"Climbazole","CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1","pharmaceutical","DTXSID6046555","38083-17-9","OWEGWHBOCFMBLP-UHFFFAOYSA-N",32
"Clofibrate","CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1","pharmaceutical","DTXSID3020336","637-07-0","KNHUKKLJHYUCFP-UHFFFAOYSA-N",1
"Clofibric acid","CC(C)(Oc1ccc(Cl)cc1)C(=O)O","pharmaceutical","DTXSID1040661","882-09-7","TXCGAZHTZHNUAI-UHFFFAOYSA-N",2
"Clomazone","CC1(C)CON(Cc2ccccc2Cl)C1=O","pesticide","DTXSID1032355","81777-89-1","KIEDNEWSYUYDSN-UHFFFAOYSA-N",5
"Clonidine","Clc1cccc(Cl)c1NC1=NCCN1","pharmaceutical","DTXSID6022846","4205-90-7","GJSURZIOUXUGAL-UHFFFAOYSA-N",10
"Clopidogrel","COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1","pharmaceutical","DTXSID6022848","113665-84-2","GKTWGGQPFAXNFI-HNNXBMFYSA-N",5
"Clothianidin","CN=C(NCc1cnc(Cl)s1)N[N+](=O)[O-]","pesticide","DTXSID2034465","210880-92-5","PGOOBECODWQEAB-UHFFFAOYSA-N",1
"Clotrimazole","Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1","pharmaceutical","DTXSID7029871","23593-75-1","VNFPBHJOKIVQEB-UHFFFAOYSA-N",1
"Clozapine","CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1","pharmaceutical","DTXSID5022855","5786-21-0","QZUDBNBUXVUHMW-UHFFFAOYSA-N",10
"Cocaine","COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C","stimulans","DTXSID2038443","50-36-2","ZPUCINDJVBIVPJ-LJISPDSOSA-N",2
"Cotinine","CN1C(=O)CCC1c1cccnc1","human metabolite","DTXSID1047576","486-56-6","UIKROCXWUNQSPJ-VIFPVBQESA-N",114
"Coumestrol","O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12","food ingredient","DTXSID6022399","479-13-0","ZZIALNLLNHEQPJ-UHFFFAOYSA-N",1
"Cyclamate","O=S(=O)(O)NC1CCCCC1","sweetener","DTXSID5041809","100-88-9","HCAJEUSONLESMK-UHFFFAOYSA-N",101
"Cyclohexylamine","NC1CCCCC1","industrial","DTXSID1023996","108-91-8","PAFZNILMFXTMIY-UHFFFAOYSA-N",10
"Cyclophosphamide","O=P1(N(CCCl)CCCl)NCCCO1","pharmaceutical","DTXSID5020364","50-18-0","CMSMOCZEIVJLDB-UHFFFAOYSA-N",5
"Cyproconazole","CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1","pesticide","DTXSID0032601","94361-06-5","UFNOUKDBUJZYDE-UHFFFAOYSA-N",2
"Cyprodinil","Cc1cc(C2CC2)nc(Nc2ccccc2)n1","pesticide","DTXSID1032359","121552-61-2","HAORKNGNJCEJBX-UHFFFAOYSA-N",2
"Cyromazine","Nc1nc(N)nc(NC2CC2)n1","pesticide","DTXSID6023999","66215-27-8","LVQDKIWDGQRHTE-UHFFFAOYSA-N",26
"DEET","CCN(CC)C(=O)c1cccc(C)c1","repellent","DTXSID2021995","134-62-3","MMOXZBCLCQITDF-UHFFFAOYSA-N",79
"DEET carboxylic acid","CCN(CC)C(=O)c1cccc(C(=O)O)c1","biocide","DTXSID30222551","72236-23-8","PXXLQQDIFVPNMP-UHFFFAOYSA-N",60
"Daidzein","O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12","food ingredient","DTXSID9022310","486-66-8","ZQSIJRDFPHDXIC-UHFFFAOYSA-N",43
"Daminozide","CN(C)NC(=O)CCC(=O)O","pesticide","DTXSID9020370","1596-84-5","NOQGZXFMHARMLW-UHFFFAOYSA-N",32
"Decylsulfate","CCCCCCCCCCOS(=O)(=O)O","surfactant","DTXSID8042428","142-98-3","CSMFSDCPJHNZRY-UHFFFAOYSA-N",6
"Denatonium","CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1","bittern","DTXSID9043770","47324-98-1","ZFQMTVNLDNXRNQ-UHFFFAOYSA-O",76
