"Compound","EC10_ngL"
"Epoxiconazole",972028.7
"Eprosartan",71526.624
"Ethofumesate",12395042
"Fenofibrate",24572.449
"Fenuron",343649.86
"Fipronil",9074.651
"Fipronil desulfinyl",8282.394
"Fipronil sulfide",14140.947
"Fipronil sulfone",8842.682
"Fluconazole",134079.8
"Flufenacet",406121.25
"Flumequine",1897991.3
"Flumioxazin",624059.5
"Fluoxastrobin",64763.13
"Fluoxetine",1686.1985
"Flurtamone",2202.5802
"Fluvoxamine",895914.55
"Formetanate",202146.9
"Furosemide",84155304
"Gabapentin",68758064
"Gabapentin-Lactam",192099.78
"Genistein",3285.3205
"Glimepiride",252571
"Guanylurea",31938450
"Harman",291784.23
"Hexa(methoxymethyl)melamine",396779.8
"Hexadecylpyridinium",54975.86
"Hexadecyltrimethylammonium",82186.47
"Hexazinone",6485.088
"Hydrochlorothiazide",14033.943
"Icaridin",35901590
"Ifosfamide",1789478.4
"Imazalil",104941.13
"Imazapyr",36552390
"Imidacloprid",5764.6055
"Imidacloprid-guanidine",34943.08
"Imidacloprid-urea",17299.732
"Indole-3-acrylic acid",23940844
"Irgarol",734538.85
"Isophorone diamine",27120066
"Isophthalic acid",84453680
"Isoproturon",2162217.1
"Isoxaben",766487.5
"Ketamine",138770.65
"Ketoprofen",55405690
"Kresoxim-methyl",7344.146
"Labetalol",21357727
"Lamotrigine",57728.697
"Lauric isopropanolamide",7135987.3
"Lauryl diethanolamide",2885626.6
"Lenacil",394163.85
"Lidocaine",867.878
"Lincomycin",16463130
"Loperamide",138273.36
"Lorazepam",194854.42
"Losartan",82175.43
"Losartan Carboxylic acid",102100.73
"MCPA",731299.4
"Mebendazole",264445.66
"Mecoprop",436619.25
"Mefenamic acid",36036.09
"Melamine",18172874
"Melatonin",886715.35
"Melperon",186554.76
"Memantine",8770523
"Mepiquat",60919360
"Metalaxyl",3473737
"Metalaxyl CGA108906",12348206.5
"Metamitron-desamino",72813.705
"Metazachlor",470356.5
"Metazachlor BH479-12",32795017
"Metazachlor ESA",667649.9
"Metazachlor OA",613570
"Metformin",145235.96
"Methadone",150266.54
"Methamphetamine",2579140
"Methenamine",5073637.5
"Methimazol",84296.98
"Methiocarb sulfone",16569601
"Methiocarb-sulfoxide phenol",124890.59
"Methocarbamol",21.018297
"Methomyl",595577.7
"Methyl diethanolamine",433216430
"Methylchloroisothiazolinone",62157.545
"Methyldesphenylchloridazon",622879.6
"Metobromuron",20918304
"Metolachlor",452700.38
"Metolachlor CGA 357704",15529614
"Metolachlor CGA 368208",21553493
"Metolachlor ESA",27832285
"Metolachlor OA",824261.7
"Metolachlor-NOA 413173",50876274
"Metoprolol",1618384.6
"Metoprolol acid",14596074
"Metribuzin",12035113
"Mirtazapine",63272.63
"Monensin",352799.86
"Myclobutanil",887833.54
"Mycophenolic acid",191710.58
"N,N-Dimethyldecan-1-amide",1396131.2
"N,N-Dimethyldecylamine",439879.72
"N,N-Dimethyldodecylamine",179745.97
"N,N-Dimethyldodecylamine N-oxide",15562502
"N-Acetyl-4-aminoantipyrine",23414.772
"N-Butylbenzenesulfonamide",1058624
"N-Cyclohexyl-2-benzothiazole-amine",203852.8
"N-Ethyl-3-methylbenzamide",3688914.5
"N-Ethyl-o-toluenesulfonamide",361184.87
"N-Formyl-4-aminoantipyrine",82202.345
"N-Lauroylethanolamine",2505298.1
"N-Methyl-dicyclohexylamine",5052062
