chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
Dimethyl-5-sulfoisophthalate,,138-25-0,HTXMGVTWXZBZNC-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 2.0; 10.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dimethylaminophenazone,,58-15-1,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,1.0,4,1.0; 2.5,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dimethyldithiophosphate,,756-80-9,CZGGKXNYNPJFAX-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dimoxystrobin,,149961-52-4,WXUZAHCNPWONDH-DYTRJAOYSA-N,0.5,2,0.5,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
DINCH,,166412-78-8,HORIEOQXBKUKGQ-UHFFFAOYSA-N,0.5,2,0.5; 40.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dinoseb,,88-85-7,OWZPCEFYPSAJFR-UHFFFAOYSA-N,0.4,3,0.4; 0.5; 2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
dioctyldiphenylamine,,101-67-7,QAPVYZRWKDXNDK-UHFFFAOYSA-N,5.1543311369352995,1,5.1543311369352995,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Dioctylsulfosuccinate,,10041-19-7,HNSDLXPSAYFUHK-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diphenhydramine,,58-73-1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,2.0,3,2.0; 3.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
diphenyl sulfone,,127-63-9,KZTYYGOKRVBIMI-UHFFFAOYSA-N,5.4255584694673775,1,5.4255584694673775,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diphenylamine,,122-39-4,DMBHHRLKUKUOEG-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Diphenylether,,101-84-8,USIUVYZYUHIAEV-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
