chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
(3-Chloro-2-hydroxypropyl)trimethylammonium,,3327-22-8,XIUCEANTZSXBQQ-UHFFFAOYSA-N,50.0,1,50.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(4-Sulfophenyl)acetic acid,,153661-28-0,KGJGWDQUGUEMIW-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(Benzothiazol-2-ylthio)methyl thiocyanate,,21564-17-0,TUBQDCKAWGHZPF-UHFFFAOYSA-N,0.5,2,0.5; 12.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
(Methoxymethyl)triphenylphosphonium,,NOCAS,SDMCZCALYDCRBH-UHFFFAOYSA-N,0.5,2,0.5; 1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,1,1-Tris(4-hydroxyphenyl)ethane",,27955-94-8,BRPSWMCDEYMRPE-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,1-dichloro-2,2-bis(4-methoxyphenyl)ethan",,7388-31-0,RBEICLNUPBZRMH-UHFFFAOYSA-N,5.503211872088054,1,5.503211872088054,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4,5-Tetrachlorobenzene",,95-94-3,JHBKHLUZVFWLAG-UHFFFAOYSA-N,1.5436581122471886,1,1.5436581122471886,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4-Triazole",,288-88-0,NSPMIYGKQJPBQR-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2,4-Trichlorobenzene",,120-82-1,PBKONEOXTCPAFI-UHFFFAOYSA-N,6.780017741303517,1,6.780017741303517,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2-Benzisothiazolinone",,2634-33-5,DMSMPAJRVJJAGA-UHFFFAOYSA-N,2.0,3,2.0; 17.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,2-Dichlorobenzene",,95-50-1,RFFLAFLAYFXFSW-UHFFFAOYSA-N,45.001005223536566,1,45.001005223536566,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Dichlorobenzene",,541-73-1,ZPQOPVIELGIULI-UHFFFAOYSA-N,26.115527788084023,1,26.115527788084023,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Dimethyl-2-imidazolidinone",,80-73-9,CYSGHNMQYZDMIA-UHFFFAOYSA-N,0.5,3,0.5; 20.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Diphenylguanidine",,102-06-7,OWRCNXZUPFZXOS-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 2.0; 5.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,3-Diphenylurea",,102-07-8,GWEHVDNNLFDJLR-UHFFFAOYSA-N,0.5,2,0.5; 0.6,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,4-Dichlorobenzene",,106-46-7,OCJBOOLMMGQPQU-UHFFFAOYSA-N,45.866753327720915,1,45.866753327720915,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,5-Naphthalenediamine",,2243-62-1,KQSABULTKYLFEV-UHFFFAOYSA-N,0.3,2,0.3; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1,7-Diaminophenazine",,28124-29-0,FRPNYDRHOLAYDZ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"1-(3-carboxypropyl)-3,7-dimethylxanthine",,6493-07-8,WKASGTGXOGALBG-UHFFFAOYSA-N,0.5,2,0.5; 10.0,MDL,FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-(3-Chlorophenyl)-piperazine,,6640-24-0,VHFVKMTVMIZMIK-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-(3-Trifluoromethylphenyl)-piperazine,,15532-75-9,KKIMDKMETPPURN-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Benzylpiperazine,,2759-28-6,IQXXEPZFOOTTBA-UHFFFAOYSA-N,0.5,2,0.5; 0.9,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Butyl-3-methyl-imidazolium,1-Butyl-3-methyl-imidazolium_M+,79917-90-1,IQQRAVYLUAZUGX-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 1.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Chloro-2-nitrobenzene,,88-73-3,BFCFYVKQTRLZHA-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Cyclohexyl-3-phenylurea,,886-59-9,WPLYTRWMCWBZEN-UHFFFAOYSA-N,0.5,2,0.5; 1.1,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Decanesulfonic acid,,20283-21-0,KVGOXGQSTGQXDD-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Dodecanesulfonic acid,,1510-16-3,LDMOEFOXLIZJOW-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Ethyl-3-methyl-imidazolium,,65039-03-4,NJMWOUFKYKNWDW-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Hexanesulfonic acid,,13595-73-8,FYAQQULBLMNGAH-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Methylimidazole,,616-47-7,MCTWTZJPVLRJOU-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Naphthol,,90-15-3,KJCVRFUGPWSIIH-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Naphthol-5-sulfonic acid,,117-59-9,YLKCHWCYYNKADS-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Naphthylamine,,134-32-7,RUFPHBVGCFYCNW-UHFFFAOYSA-N,0.5,2,0.5; 35.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Nitroguanidine,,556-88-7,IDCPFAYURAQKDZ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Phenylnaphthalene,,605-02-7,IYDMICQAKLQHLA-UHFFFAOYSA-N,18.7,1,18.7,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1-Phenylnaphthalin,,91827-38-2,ONFHKXIQYYOBTO-UHFFFAOYSA-N,18.74379767785459,1,18.74379767785459,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"10,11-Dihydro-10,11-dihydroxycarbamazepine",,35079-97-1,PRGQOPPDPVELEG-UHFFFAOYSA-N,1.0,3,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"10,11-Dihydro-10-hydroxycarbamazepine",,29331-92-8,BMPDWHIDQYTSHX-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
11-Ketotestosterone,,564-35-2,WTPMRQZHJLJSBO-XQALERBDSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
17-alpha-Estradiol,,57-91-0,VOXZDWNPVJITMN-SFFUCWETSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
17-alpha-Ethinylestradiol,,57-63-6,BFPYWIDHMRZLRN-SLHNCBLASA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
17-beta-Estradiol,,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
17alpha-Hydroxyprogesterone,,68-96-2,DBPWSSGDRRHUNT-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
17alpha-Methyltestosterone,,58-18-4,GCKMFJBGXUYNAG-HLXURNFRSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
1H-Benzotriazole,,95-14-7,QRUDEWIWKLJBPS-UHFFFAOYSA-N,5.0,4,5.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2(4-morpholinyl)benzothiazole,,4225-26-7,VVUVJGRVEYHIHC-UHFFFAOYSA-N,0.7,3,0.7; 2.9,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2'-dichloro-4,4'-methylenedianiline",,NA,XXHYEEPTJWQYQU-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2'-Dithiobisbenzanilide",,135-57-9,ZHMIOPLMFZVSHY-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2'-Dithiobisbenzothiazole",,120-78-5,AFZSMODLJJCVPP-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2,4-Trimethyl-1,3-pentanediol diisobutyrate",6846-50-0,OMVSWZDEEGIJJI-UHFFFAOYSA-N,0.5,2,0.5; 5.1,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2,6,6-Tetramethyl-4 piperidone",,826-36-8,JWUXJYZVKZKLTJ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2,6,6-Tetramethylpiperidin-4-ol",,2403-88-5,VDVUCLWJZJHFAV-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,2-Dimethoxy-2-phenylacetophenone",,24650-42-8,KWVGIHKZDCUPEU-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,3-Epoxypropyltrimethylammonium",,3033-77-0,LRQFRDLKOBFOSG-UHFFFAOYSA-N,10.0,1,10.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,4-Diaminobenzenesulfonic acid",,88-63-1,JVMSQRAXNZPDHF-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,4-Dichlorobenzoic acid",,50-84-0,ATCRIUVQKHMXSH-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,4-Dichlorophenol",,120-83-2,HFZWRUODUSTPEG-UHFFFAOYSA-N,8.0,2,8.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,4-Dichlorophenoxyacetic acid",,94-75-7,OVSKIKFHRZPJSS-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,4-Dinitrophenol",,51-28-5,UFBJCMHMOXMLKC-UHFFFAOYSA-N,2.0,3,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,6-Di-tert-butyl-1,4-benzoquinone",,719-22-2,RDQSIADLBQFVMY-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,6-di-tert-Butylphenol",,128-39-2,DKCPKDPYUFEZCP-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,6-Dichlorobenzamide",,2008-58-4,JHSPCUHPSIUQRB-UHFFFAOYSA-N,5.0,3,5.0; 10.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,6-diisopropylnaphthalene",,24157-81-1,GWLLTEXUIOFAFE-UHFFFAOYSA-N,61.95505076759994,1,61.95505076759994,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,6-Xylidine",,87-62-7,UFFBMTHBGFGIHF-UHFFFAOYSA-N,8.0,3,8.0; 500.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,7-Naphthalenedisulfonic acid",,92-41-1,VILFVXYKHXVYAB-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2,8-Diaminophenazine",,7704-40-7,CCBDBWAKDHGKNI-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(2-(2-Methoxyethoxy)ethoxy)ethanol,,112-35-6,JLGLQAWTXXGVEM-UHFFFAOYSA-N,0.3,2,0.3; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(2-(Chlorophenyl)amino)benzaldehyde,,71758-44-6,DAAHPDZFLSFYPJ-UHFFFAOYSA-N,10.0,2,10.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(2-Pyridyl)ethanol,,103-74-2,BXGYBSJAZFGIPX-UHFFFAOYSA-N,0.5,2,0.5; 1.1,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(Diethylamino)-6-methylpyrimidin-4-one,,42487-72-9,NQCPECCCWDWTJJ-UHFFFAOYSA-N,0.4,2,0.4; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(Methylthio)benzothiazole,,615-22-5,UTBVIMLZIRIFFR-UHFFFAOYSA-N,10.0,2,10.0; 14.9,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-(Piperazin-1-yl)ethanamine,,140-31-8,IMUDHTPIFIBORV-UHFFFAOYSA-N,0.5,2,0.5; 180.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Acetonaphthone,,93-08-3,XSAYZAUNJMRRIR-UHFFFAOYSA-N,0.5,2,0.5; 100.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Amido-3,5,6-trichloro-4-cyanobenzenesulfonic acid",,1418095-02-9,JNMMKKYUIIQPDG-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)",,105650-23-5,UQVKZNNCIHJZLS-UHFFFAOYSA-N,0.5,2,0.5; 3.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Amino-3,8-dimethylimidazo-[4,5-f]quinoxaline (MeIQx)",,77500-04-0,DVCCCQNKIYNAKB-UHFFFAOYSA-N,0.1,3,0.1; 0.5; 5.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Amino-3-methyl-imidazo[4,5-f]quinoline (IQ)",,76180-96-6,ARZWATDYIYAUTA-UHFFFAOYSA-N,0.1,2,0.1; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Amino-9H-pyrido[2,3-b]indole (AalphaC)",,26148-68-5,FJTNLJLPLJDTRM-UHFFFAOYSA-N,0.5,2,0.5,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Aminobenzimidazole,,934-32-7,JWYUFVNJZUSCSM-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Aminobiphenyl,,90-41-5,TWBPWBPGNQWFSJ-UHFFFAOYSA-N,0.5,2,0.5; 5.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
"2-Aminonaphthalene-1,5-disulfonic acid",,117-62-4,YAIKCRUPEVOINQ-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Aminopyridine,,504-29-0,ICSNLGPSRYBMBD-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Benzothiazolesulfonic acid,,941-57-1,ZCXGMSGCBDSEOY-UHFFFAOYSA-N,2.0,4,2.0; 10.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Bromoaniline,,615-36-1,AOPBDRUWRLBSDB-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Chlorobenzothiazole,,615-20-3,BSQLQMLFTHJVKS-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Chloronaphthalene,,91-58-7,CGYGETOMCSJHJU-UHFFFAOYSA-N,7.468501311478244,1,7.468501311478244,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Chloropyridine,,109-09-1,OKDGRDCXVWSXDC-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxyatrazine,,2163-68-0,NFMIMWNQWAWNDW-UHFFFAOYSA-N,5.0,3,5.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxybenzothiazole,,934-34-9,YEDUAINPPJYDJZ-UHFFFAOYSA-N,0.1,3,0.1; 0.5; 50.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxycarbamazepine,,68011-66-5,VPZIYMMSJFWLSP-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxycarbazole,,86-79-3,GWPGDZPXOZATKL-UHFFFAOYSA-N,0.5,2,0.5; 2.2,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxydesethylterbuthylazine,,66753-06-8,NUISVCFZNCYUIM-UHFFFAOYSA-N,0.5,2,0.5; 1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Hydroxyquinoline,,59-31-4,LISFMEBWQUVKPJ-UHFFFAOYSA-N,0.1,4,0.1; 0.5; 2.0; 20.0,LOQ; MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Isopropyl-6-methyl-pyrimidin-4-ol,,2814-20-2,AJPIUNPJBFBUKK-UHFFFAOYSA-N,1.0,3,1.0; 1.5,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Isopropylthioxanthone,,5495-84-1,KTALPKYXQZGAEG-UHFFFAOYSA-N,1.0,3,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
2-Methylbenzothiazole,,120-75-2,DXYYSGDWQCSKKO-UHFFFAOYSA-N,1.0,3,1.0; 5.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
