"kind","unit","label","method","site","mean_weight","sd_weight","n_edges_on_skeleton","mean_weight_on_skeleton","strength_skeleton","within_module_mean"
"conc","Danube_Upper","Upper Danube","lioness","EUS_051",0.319431134918244,0.728366091642558,278,0.928627721506,264.383317397233,0.922370642688866
"conc","Danube_Upper","Upper Danube","lioness","EUS_082",0.13118854747437,1.2741998461119,278,0.734940047064617,253.052943412041,0.735819044585385
"conc","Danube_Upper","Upper Danube","lioness","EUS_096",0.138294926746336,0.648947598622687,278,0.743693848359962,236.311358473766,0.752748180755745
"conc","Danube_Upper","Upper Danube","lioness","EUS_097",0.145272584981794,0.626881070987801,278,0.793994941457451,228.393631419072,0.810007788883424
"conc","Danube_Upper","Upper Danube","lioness","EUS_103",0.301801282151139,0.764280469448934,278,0.841193032700114,243.446461090098,0.853793154018712
"conc","Danube_Upper","Upper Danube","lioness","EUS_104",0.221837881585792,0.742721688113845,278,0.796988533683073,233.727748655451,0.83218845263951
"conc","Danube_Upper","Upper Danube","lioness","EUS_105",0.107428751410049,0.632064957594843,278,0.874163807915617,246.091896198992,0.892678952302364
"conc","Danube_Upper","Upper Danube","lioness","EUS_106",0.0820822897098399,0.670860202116987,278,0.862654458475684,251.115854562775,0.871563406543186
"conc","Danube_Upper","Upper Danube","lioness","EUS_107",0.236334307217556,0.801126488191526,278,0.800084490808252,250.568751271307,0.784091543828316
"conc","Danube_Upper","Upper Danube","lioness","EUS_108",-0.00758500639719853,1.66773843573483,278,0.654122906294404,291.317490771308,0.7776745481527
"conc","Danube_Upper","Upper Danube","lioness","EUS_109",0.126737561489288,0.824397735009552,278,0.786754543750607,259.466409867285,0.845270204560294
"conc","Danube_Upper","Upper Danube","lioness","EUS_110",0.287933621153721,1.45113016256624,278,0.723996130477054,321.524271168874,0.845037463386992
"conc","Danube_Upper","Upper Danube","lioness","EUS_170",0.108283587706014,0.767953214937216,278,0.583548846990742,252.20243524141,0.554994471573755
"conc","Danube_Upper","Upper Danube","lioness","EUS_171",0.382463171115114,0.60647785536242,278,0.806192790020904,246.541014176938,0.792321065164274
"conc","Danube_Upper","Upper Danube","lioness","EUS_172",0.307040169115026,0.548982832937796,278,0.761679806111664,233.421126275757,0.748983080969521
"conc","Danube_Upper","Upper Danube","lioness","EUS_181",1.57695432089248,2.43151472062595,278,1.71814969990142,507.782382401214,1.63445405558747
"conc","Danube_Upper","Upper Danube","lioness","EUS_182",-0.00163308370049477,0.942090449270087,278,0.465349869055088,269.517757329476,0.40649562047312
"conc","Danube_Upper","Upper Danube","lioness","EUS_183",2.27000064890501,3.91945415558793,278,2.63098655147741,744.13750520353,2.44506014936787
"conc","Danube_Upper","Upper Danube","lioness","EUS_301",0.202715049264783,0.755720941249543,278,0.839666413080967,235.61872325414,0.84691365588863
"conc","Danube_Upper","Upper Danube","lioness","EUS_302",0.246781140508748,0.416989545309114,278,0.844125411567294,234.666864415708,0.851544088005182
"conc","Danube_Upper","Upper Danube","lioness","EUS_303",0.217831174443562,0.428112396024153,278,0.851657663736218,237.587610755754,0.85758331373209
"conc","Danube_Upper","Upper Danube","lioness","EUS_304",0.151106982670147,0.6023101632847,278,0.854168927394334,237.458961815625,0.857949009494271
"conc","Danube_Upper","Upper Danube","lioness","EUS_305",0.325679524642966,0.598365510172299,278,0.839602294164408,239.337953756218,0.854985154855726
"conc","Danube_Upper","Upper Danube","lioness","EUS_306",0.250638697594099,0.521319126243703,278,0.838337452050248,234.721467605243,0.843977282786246
"conc","Danube_Upper","Upper Danube","lioness","EUS_307",0.253931165292775,0.471513435723428,278,0.848953324816498,236.009024298986,0.863166500546274
"conc","Danube_Upper","Upper Danube","lioness","EUS_308",0.265916259354147,0.457681187225287,278,0.864370832898146,240.295091545685,0.87051657065579
"conc","Danube_Upper","Upper Danube","lioness","EUS_309",0.215560046155511,0.576066596415941,278,0.830081439972972,233.998618394839,0.828375040954415
"conc","Danube_Upper","Upper Danube","lioness","EUS_310",0.243791259221265,0.458820535214485,278,0.852649948295203,237.036685626066,0.855357840000059
"conc","Danube_Upper","Upper Danube","lioness","EUS_311",0.0992939127801896,1.03637025911685,278,0.84782548565038,244.543123813567,0.850689355886001
"conc","Danube_Upper","Upper Danube","lioness","EUS_312",0.1336692048939,1.26081754533255,278,0.834735826000479,244.455535503974,0.843709463270347
"conc","Danube_Upper","Upper Danube","lioness","EUS_376",0.139282874798216,0.953878975606537,278,0.929600088936336,258.428824724302,0.926400254888913
"conc","Danube_Upper","Upper Danube","lioness","EUS_377",0.075111833472319,1.11724732109413,278,0.930316412595736,258.777459200076,0.924475827096698
"conc","Danube_Upper","Upper Danube","lioness","EUS_378",0.3527068799342,0.711876136978983,278,0.909415800489253,259.765121306332,0.898420355502068
"conc","Danube_Upper","Upper Danube","lioness","EUS_379",0.0239688232284029,1.36761152602192,278,0.671349782645134,246.339538819562,0.706150902436167
"conc","Danube_Upper","Upper Danube","lioness","EUS_380",0.070102435619775,1.13327564023765,278,0.845785892648285,242.014178613147,0.845758715263693
"conc","Danube_Upper","Upper Danube","bonobo","EUS_051",0.281923647748674,0.283146725016873,278,0.87038182736956,241.966148008738,0.874859643614957
"conc","Danube_Upper","Upper Danube","bonobo","EUS_082",0.251281108117345,0.287837427597274,278,0.848487851194441,235.879622632055,0.854345167356186
"conc","Danube_Upper","Upper Danube","bonobo","EUS_096",0.256361948556981,0.275295213811461,278,0.848779108378749,235.960592129292,0.85562093858652
"conc","Danube_Upper","Upper Danube","bonobo","EUS_097",0.256526080750247,0.2771883404474,278,0.8533777875041,237.23902492614,0.860623455340684
"conc","Danube_Upper","Upper Danube","bonobo","EUS_103",0.280403770681197,0.277752817961884,278,0.85945026889677,238.927174753302,0.865935867365947
"conc","Danube_Upper","Upper Danube","bonobo","EUS_104",0.269812972021059,0.278038135665543,278,0.854079850586281,237.434198462986,0.863415579558819
"conc","Danube_Upper","Upper Danube","bonobo","EUS_105",0.25127496533002,0.283250201743447,278,0.864255643260283,240.263068826359,0.871610080386223
"conc","Danube_Upper","Upper Danube","bonobo","EUS_106",0.248426673881465,0.286441913515048,278,0.862807041988955,239.860357672929,0.868927055991299
"conc","Danube_Upper","Upper Danube","bonobo","EUS_107",0.271975435799369,0.27809716542582,278,0.855671683570367,237.876728032562,0.858824052320008
"conc","Danube_Upper","Upper Danube","bonobo","EUS_108",0.240546577656457,0.317966926438165,278,0.844076570372925,234.653286563673,0.863891100213972
"conc","Danube_Upper","Upper Danube","bonobo","EUS_109",0.252288693077385,0.290975315115882,278,0.854570749928575,237.570668480144,0.866091362897587
"conc","Danube_Upper","Upper Danube","bonobo","EUS_110",0.266601733383893,0.313491201696896,278,0.849991476186117,236.297630379741,0.865854803563471
"conc","Danube_Upper","Upper Danube","bonobo","EUS_170",0.25287459698449,0.274894484700452,278,0.834963665956643,232.119899135947,0.837909453525061
"conc","Danube_Upper","Upper Danube","bonobo","EUS_171",0.289001708764439,0.267433147063727,278,0.856598510842431,238.134386014196,0.860240954101686
"conc","Danube_Upper","Upper Danube","bonobo","EUS_172",0.278891787846591,0.271809517382542,278,0.852065635905771,236.874246781804,0.85575753808813
"conc","Danube_Upper","Upper Danube","bonobo","EUS_181",0.366665586022779,0.336621301230006,278,0.913228478538387,253.877517033672,0.914713885064062
"conc","Danube_Upper","Upper Danube","bonobo","EUS_182",0.244352787799606,0.279394095475599,278,0.824189470676447,229.124672848052,0.824351587938109
"conc","Danube_Upper","Upper Danube","bonobo","EUS_183",0.381862530460293,0.371472362674837,278,0.925084328526288,257.173443330308,0.926057792832191
"conc","Danube_Upper","Upper Danube","bonobo","EUS_301",0.268613747436268,0.272701575190625,278,0.85955027444238,238.954976294982,0.865631455786707
"conc","Danube_Upper","Upper Danube","bonobo","EUS_302",0.269037166338368,0.277140303267806,278,0.860028946115878,239.088047020214,0.866103101912204
"conc","Danube_Upper","Upper Danube","bonobo","EUS_303",0.264684865644005,0.279662472512446,278,0.861230841179841,239.422173847996,0.867095493353793
