unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu
Danube_Lower,EUS_158,555.3469543297485,800.4114941964552,0.17424201580111043,0.272494385163197
Danube_Lower,EUS_159,488.5721091391713,801.629215262023,0.1771990314685475,0.052701141479133594
Danube_Lower,EUS_160,719.9731034822616,793.7111081526203,0.17503757565623274,0.6059737372954666
Danube_Lower,EUS_161,835.4215089788762,794.1867485804975,0.1736841106065478,1.0089980893634884
Danube_Lower,EUS_162,448.4238036686732,803.2450412896557,0.1986753248888728,0.06809159118749222
Danube_Lower,EUS_163,300.7744117618689,811.7070133990937,0.195627231657341,0.10960658506204203
Danube_Lower,EUS_173,865.5713761685556,887.8554547437354,0.30968310409772354,9.108865714863125
Danube_Lower,EUS_174,768.6163086361892,811.7074168425129,0.17419678223028565,0.56372306899621
Danube_Lower,EUS_175,465.2553992952092,796.3861398419654,0.18071898851115586,0.15552193460113212
Danube_Lower,EUS_331,272.4813169041973,814.6442897447071,0.19114631750892933,0.06895019561891622
Danube_Lower,EUS_333,450.7342979621055,804.3678871342063,0.17599302731140315,1.31039402460419
Danube_Lower,EUS_335,244.10838700630825,814.9692193788239,0.186504644355177,8.435694440415716
Danube_Lower,EUS_336,218.8188785181865,819.2429632954527,0.1895885096229089,2.636951026196499
Danube_Lower,EUS_337,195.67683539675474,821.9914221224279,0.18360009562624208,0.9559112418742881
Danube_Lower,EUS_338,292.42363524467794,804.1878929512831,0.18633197283780778,0.9408177949297143
Danube_Lower,EUS_339,327.2997379565791,802.0406660199664,0.18268864287644884,9.553333826816596
Danube_Lower,EUS_340,155.59125857259312,824.1397610632057,0.18922195001513645,0.4551191329159747
Danube_Lower,EUS_341,181.55982550077164,822.4976275961372,0.19181156901282068,6.34254660284159
Danube_Lower,EUS_342,301.75154326474535,805.5106216686554,0.1946420337330491,32.29465918042376
Danube_Lower,EUS_343,167.65712911908858,824.232636236333,0.19038468615972903,0.8563272268275609
Danube_Lower,EUS_344,466.39742412732767,796.2321813881954,0.17633501882580144,8.765844440844702
Danube_Lower,EUS_345,244.41385414634692,815.1356103110488,0.19042037013919447,5.619926932436737
Danube_Lower,EUS_346,563.5696495590856,802.8700051318947,0.17912963246705924,11.880271823027797
Danube_Lower,EUS_347,213.53097608654542,823.2809094403232,0.18383236473550427,14.13574480125461
Danube_Lower,EUS_348,192.43405395563045,822.405383795316,0.18525415629728786,40.823576540220024
Danube_Lower,EUS_349,376.00582763946994,821.5109636875835,0.17415348629076646,97.14936432667852
Danube_Lower,EUS_350,213.36130698469765,828.4716497672786,0.18247852322342464,34.509132230772025
Danube_Lower,EUS_351,176.7987370972295,827.143273503365,0.18632250085523222,9.554443684740518
Danube_Lower,EUS_352,468.0571654671297,806.0902834175668,0.17598514839038612,20.101829819234418
Danube_Lower,EUS_353,343.70239709188,814.6873824882881,0.1883074069234022,1.6877675456980268
Danube_Lower,EUS_354,287.03922238355227,820.8985940747256,0.20275966022892578,1.567630243037741
Danube_Lower,EUS_355,525.2344797622335,831.1873289053842,0.18330603018049718,4.686918958326008
Danube_Lower,EUS_356,394.7000096677779,800.6325153585744,0.17972803517028282,0.7091958358851725
Danube_Lower,EUS_357,209.3296009818377,818.8312107874137,0.19866539516151951,0.37843392477264914
Danube_Lower,EUS_358,197.5722116526185,823.1865531826522,0.21296333486988936,0.18775341319114539
Danube_Lower,EUS_359,323.0088898981094,810.0407015405586,0.18036768036032363,0.7313587373536804
Danube_Lower,EUS_360,353.2110194430279,855.669808723291,0.1906312574567868,10.146489162074996
Danube_Lower,EUS_361,269.7658777004953,832.1531663078092,0.17334431942828704,1.8407637766403262
Danube_Lower,EUS_362,282.98602800024287,832.7739328386933,0.1742389184778127,4.418057662229861
Danube_Lower,EUS_363,336.3762361989486,825.083238699032,0.21753242414527843,0.23387309357343944
Danube_Lower,EUS_364,533.9309256012455,878.41024767574,0.20174186820190365,21.453857909694438
Danube_Lower,EUS_365,306.63703315134603,832.5859539891593,0.17732735197416977,1.5628687706666415
Danube_Lower,EUS_366,378.8578607082492,840.803014859085,0.18080530823469243,4.834557932307801
Danube_Lower,EUS_367,684.3795826718805,869.0284461132504,0.19584157931671994,92.0596687564631
Danube_Lower,EUS_368,504.0924480814322,800.8712803292732,0.17054483414963692,2.204708654793122
Danube_Lower,EUS_369,291.7050624116256,820.5025689415517,0.20348597788343278,2.010751433809881
Danube_Lower,EUS_370,239.90217854155102,809.559153583264,0.18512673034294083,0.6409113351663563
Danube_Lower,EUS_371,293.307216369882,806.2784903458095,0.1880697823076531,1.0506686596018544
