unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu
Sec_Danube_Upper,EUS_001,600.5682216477036,671.2210378718576,0.21377356905145728,0.6543876470893533
Sec_Danube_Upper,EUS_002,352.2816610875233,675.598367997676,0.2329559906965797,0.22823965029596635
Sec_Danube_Upper,EUS_003,739.8565394021725,747.0893506757708,0.28030080876432506,0.8078211992227314
Sec_Danube_Upper,EUS_004,431.7461247258465,675.5527097713248,0.2206274267799123,0.18797746022291717
Sec_Danube_Upper,EUS_005,430.14470650955485,676.6809683505387,0.22109459312772192,0.05914403996716917
Sec_Danube_Upper,EUS_006,289.4191000104731,679.8595630082145,0.2439897767819848,0.006233809390852262
Sec_Danube_Upper,EUS_007,141.57391076505664,699.7795384835345,0.2629079318572498,0.08044640953537814
Sec_Danube_Upper,EUS_008,129.88718236387342,698.0283960811103,0.2651216268015564,0.08474085104470666
Sec_Danube_Upper,EUS_009,218.46955735896285,688.5501476981036,0.24867315975141696,0.09219071322471319
Sec_Danube_Upper,EUS_010,118.5616154643315,707.6850466426251,0.27808994077980304,0.07822175724270176
Sec_Danube_Upper,EUS_011,103.27751024841415,708.3268680053221,0.27344800071575975,0.0830186088206453
Sec_Danube_Upper,EUS_012,158.3343444667649,696.5140107641566,0.26293730381676705,0.08411303017869959
Sec_Danube_Upper,EUS_013,114.18248481116956,706.6553155054386,0.27429224864548063,0.07911872033920132
Sec_Danube_Upper,EUS_051,250.7240016807456,690.3689481186128,0.24996174601726595,0.15155393056276273
Sec_Danube_Upper,EUS_096,454.10161851572417,661.8625125634871,0.22610410276074114,0.08649168536805202
Sec_Danube_Upper,EUS_097,386.1575805872205,672.1579591672988,0.22718228503455523,0.09745168702841188
Sec_Danube_Upper,EUS_105,720.6072293938772,662.9577388001982,0.2165804995208636,0.892971738652728
Sec_Danube_Upper,EUS_164,599.2491485312797,676.5442058052234,0.23019113790099785,1.2761637069509406
Sec_Danube_Upper,EUS_165,213.65591288226312,689.3237910960376,0.25378718980082016,0.023908843613667914
Sec_Danube_Upper,EUS_166,174.55091516639962,689.7381266314125,0.25356436332871096,0.10994465721632789
Sec_Danube_Upper,EUS_168,269.15889121684233,675.7404837173108,0.23607677323933068,0.038376002397725525
Sec_Danube_Upper,EUS_171,209.71758603158077,685.623998620915,0.2584262173430112,0.010286742776225892
Sec_Danube_Upper,EUS_172,213.37111544076902,681.222728372032,0.24937278838128923,0.06969552003676066
Sec_Danube_Upper,EUS_176,767.5683752569892,665.6936971823887,0.2128675463728795,1.351285752931794
Sec_Danube_Upper,EUS_177,701.6353951081483,718.87080947144,0.25317675305064785,0.5898996501759942
Sec_Danube_Upper,EUS_179,397.49667678453363,669.9548560181416,0.22607553032040245,0.38133715895685566
Sec_Danube_Upper,EUS_182,479.6236353040572,671.0116761898984,0.2204167809955928,0.4469779027641194
Sec_Danube_Upper,EUS_183,776.3804945373437,828.8343814860975,0.45211716777697686,50.654967121270744
Sec_Danube_Upper,EUS_301,289.8870662578849,679.1029579377857,0.2328852060799943,0.7523148487659005
Sec_Danube_Upper,EUS_302,187.8960174352954,688.9489636908529,0.23495590270669675,0.03515283307195662
Sec_Danube_Upper,EUS_303,195.78741530833977,692.2141460770009,0.23174439816980175,0.1156856877397936
Sec_Danube_Upper,EUS_304,297.05862669222284,687.9078990439332,0.22832820596963715,0.16001282090583283
Sec_Danube_Upper,EUS_305,244.22521599419434,693.8041593677923,0.24623434307816516,0.37059074826024124
Sec_Danube_Upper,EUS_306,198.33120690501968,688.2183371537941,0.23790161557728887,0.029778693261143924
Sec_Danube_Upper,EUS_307,167.25386607591355,695.4886721670323,0.23682803491342083,0.27991550778230123
Sec_Danube_Upper,EUS_308,168.8898635812975,693.4874152726679,0.23859978741591256,0.17747946192273503
Sec_Danube_Upper,EUS_309,201.17328098553836,690.9547740556532,0.23444592578185253,0.28966412197452157
Sec_Danube_Upper,EUS_334,428.13556934190433,665.3789402182384,0.22580549190629767,0.017159129783427034
Sec_Danube_Upper,EUS_376,234.20881589493357,708.8377183791547,0.23155484952325728,0.040445367783267745
Sec_Danube_Upper,EUS_377,250.46362870314792,703.3037408539564,0.22922600126101317,0.08573552729391933
Sec_Danube_Upper,EUS_378,203.1154272073722,694.6264838770988,0.25691146259650377,0.009508945059313236
Sec_Danube_Upper,EUS_379,528.8891352311756,670.6642289779339,0.22248395659328993,0.20090146035999687
Sec_Danube_Upper,EUS_380,285.62956402650616,700.5538117223398,0.22796660571772853,0.11947653902586271
