unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu
Sec_Rhine_Lower,EUS_084,807.0092688922003,830.3343063245494,0.18561733602561084,0.2579073783538736
Sec_Rhine_Lower,EUS_111,404.92732426678214,851.204494125256,0.18511806777826081,9.799230786720548
Sec_Rhine_Lower,EUS_112,461.5696826783478,877.3135195895758,0.19969408754257878,68.01550349775431
Sec_Rhine_Lower,EUS_113,345.05259314579257,853.886168542908,0.18375424422517533,9.723497569381728
Sec_Rhine_Lower,EUS_114,369.9529135946295,881.5498310468724,0.19141182238947463,57.54312460049475
Sec_Rhine_Lower,EUS_115,455.431445869357,870.5414622398083,0.18917423458471558,37.03872319692765
Sec_Rhine_Lower,EUS_116,432.1242920157659,850.956657805098,0.17923708989489015,14.046875527594047
Sec_Rhine_Lower,EUS_218,390.3869641381422,843.5947766072437,0.2072115238414098,0.17477425471873081
Sec_Rhine_Lower,EUS_221,748.2035101608284,875.1348830708253,0.21427035560106095,3.4273090431207827
Sec_Rhine_Lower,EUS_238,547.1684950509837,864.5315506172082,0.21117294108741919,0.5203916786272432
Sec_Rhine_Lower,EUS_239,515.4060434548924,875.6778310524169,0.22670355315417193,0.7075570565976357
Sec_Rhine_Lower,EUS_258,116.96388752732629,865.1377822739037,0.23768972679943623,2.9777677462522905e-05
Sec_Rhine_Lower,EUS_259,105.02970365295904,866.2378636181958,0.23642235365899908,5.9489411805908735e-05
Sec_Rhine_Lower,EUS_260,142.74537302516865,861.4970423942847,0.22794147265149736,0.0022182391666683773
Sec_Rhine_Lower,EUS_261,262.2434478883719,858.1697845647792,0.19028431190765782,4.0830932676915594
Sec_Rhine_Lower,EUS_262,381.7669220214695,848.9879593370651,0.20384402544507005,0.05425379374107739
Sec_Rhine_Lower,EUS_263,279.47252468870784,856.6037642585904,0.19081380280591875,2.983053925879152
Sec_Rhine_Lower,EUS_264,273.8487731311515,856.0901360901987,0.19020592589251853,3.3919788550541154
Sec_Rhine_Lower,EUS_265,146.19993038454936,861.2396512286526,0.22318710482807036,0.05720908742014246
Sec_Rhine_Lower,EUS_266,143.1005968988169,862.196655454141,0.22255047614650472,0.07298572128985767
Sec_Rhine_Lower,EUS_381,156.10259734156745,859.77159453155,0.22339299350878883,0.023737978077579908
Sec_Rhine_Lower,EUS_382,303.8434029673375,856.8524647910733,0.19936109369095192,0.0023220090458224325
Sec_Rhine_Lower,EUS_383,515.275729591554,854.0728103248072,0.19151408652948498,0.13927946653270754
Sec_Rhine_Lower,EUS_387,122.18476595268154,865.5242263122444,0.23265028404340915,0.00020826418895593558
Sec_Rhine_Lower,EUS_388,137.40669955876572,863.7913046539635,0.23229121216447193,0.00913766892791609
Sec_Rhine_Lower,EUS_392,356.1718416494583,860.9246283125257,0.19750853682819675,0.005382811251466463
Sec_Rhine_Lower,EUS_393,218.7589463982574,862.3864473364291,0.21853998892850637,0.002389564463395213
Sec_Rhine_Lower,EUS_400,723.5493365999791,840.0534363990369,0.18610000741392146,0.06649918603583888
Sec_Rhine_Lower,EUS_401,307.0890116563137,856.5673681364751,0.2002991769998406,0.009816554195034488
Sec_Rhine_Lower,EUS_402,546.590146342454,855.510456390417,0.18920285784851257,0.025334682834736045
