unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu
Sec_Danube_Middle,EUS_082,805.907136842343,656.0906705051611,0.16407566886229166,1.19554240414162
Sec_Danube_Middle,EUS_103,332.64241065366167,683.0484343147803,0.19904470581554237,0.08911273919470683
Sec_Danube_Middle,EUS_104,426.89786244498714,669.5901532489165,0.18583839780005393,0.181945815125964
Sec_Danube_Middle,EUS_106,483.70379590527114,666.0499569579933,0.1592768986351543,0.8951632811250023
Sec_Danube_Middle,EUS_107,369.73508918377615,677.5529138580829,0.19098480888477493,0.5719985786078498
Sec_Danube_Middle,EUS_108,934.8521329489768,679.9896729585698,0.16092699706469546,2.512309309806107
Sec_Danube_Middle,EUS_109,457.0701424367566,677.8974385689378,0.16577242964885938,1.5120992663951274
Sec_Danube_Middle,EUS_110,602.1546971169599,703.3281352449654,0.18995427525476258,2.280295374469408
Sec_Danube_Middle,EUS_167,248.14917308314077,670.2509258870933,0.18822486322479662,0.10844787235426928
Sec_Danube_Middle,EUS_169,308.4299495785908,677.8161150768381,0.19465796783332492,0.08612222384147146
Sec_Danube_Middle,EUS_170,559.6533250911596,657.7868788106811,0.16700959233427679,0.6328253346440894
Sec_Danube_Middle,EUS_178,378.9949081478269,659.5709454529103,0.17097028088430652,0.4273800833909387
Sec_Danube_Middle,EUS_180,369.226011816471,675.1521505154565,0.1785011466403576,0.35440145814731183
Sec_Danube_Middle,EUS_181,787.9315609549194,746.2141752904962,0.3011114735526686,1.611080861706665
Sec_Danube_Middle,EUS_310,190.432589209305,675.2819241197175,0.18224194230976937,0.1788624215444959
Sec_Danube_Middle,EUS_311,354.5311210893247,674.3007547592459,0.16761357156124154,0.29409355668537257
Sec_Danube_Middle,EUS_312,362.73282918657304,682.0600783226175,0.17675740333043044,0.5685715218487053
Sec_Danube_Middle,EUS_313,393.0895097868756,684.2261083269173,0.1784212756556676,69.89882587979923
Sec_Danube_Middle,EUS_314,243.70701056175045,674.1292571209491,0.1754757501880619,114.27705383322999
Sec_Danube_Middle,EUS_315,211.75543915988268,674.8800101638436,0.1809603799735863,551.9792934054989
Sec_Danube_Middle,EUS_316,196.89949887323786,672.1598641663292,0.17610396940532624,260.0192509680367
Sec_Danube_Middle,EUS_317,252.40230922188385,673.1269058163512,0.1698206368291669,0.30631409712485097
Sec_Danube_Middle,EUS_318,195.74988046094393,674.5261517468796,0.17303017037605004,58.606543567815834
Sec_Danube_Middle,EUS_319,183.66074574173163,672.2793614107837,0.17329528399906435,0.20145104277887443
Sec_Danube_Middle,EUS_320,228.9030241604921,666.2534280716635,0.17290741138644924,0.1987215263741839
Sec_Danube_Middle,EUS_321,342.6854798977903,668.1180196082271,0.16938435279303485,0.4409886326647977
Sec_Danube_Middle,EUS_322,185.62216344981917,674.200651629686,0.1723470543748519,0.2632304333954603
Sec_Danube_Middle,EUS_323,170.2502600067545,675.5705810980742,0.17752807043626553,0.2741027156753699
Sec_Danube_Middle,EUS_324,140.1663470831605,677.8407217628297,0.17474575489364205,84.59688021194172
Sec_Danube_Middle,EUS_325,161.68602253405516,674.7066376361606,0.17455125496520651,81.6326053004556
Sec_Danube_Middle,EUS_326,136.46689609760438,679.7761626304623,0.1764587488569924,0.11267449252281621
Sec_Danube_Middle,EUS_327,126.17579596055174,681.899279688856,0.17863267350487122,0.1226989621963079
Sec_Danube_Middle,EUS_328,150.86639893722688,675.337382088211,0.17612613950353243,243.14766131451066
Sec_Danube_Middle,EUS_329,146.13381204872658,675.0919511542997,0.17749823209091073,364.59429848844223
Sec_Danube_Middle,EUS_330,175.01959594344518,675.7868514186288,0.18666111357159257,109.97983223039108
Sec_Danube_Middle,EUS_331,152.64317311709826,676.282402332894,0.18409440117449613,0.06895019561891622
Sec_Danube_Middle,EUS_335,430.54993387410207,654.9254161485774,0.16979142302942613,8.435694440415716
Sec_Danube_Middle,EUS_352,477.5776992192198,688.1209156516719,0.15738525832945433,20.101829819234418
Sec_Danube_Middle,EUS_353,396.40158110622656,690.6294398292434,0.16909495987283668,1.6877675456980268
Sec_Danube_Middle,EUS_354,299.3074079834215,688.8935097030251,0.18508742084730395,1.567630243037741
Sec_Danube_Middle,EUS_355,1113.9667783229404,705.7326491369952,0.17538101154889615,4.686918958326008
Sec_Danube_Middle,EUS_371,434.5927186396099,657.9810261475288,0.17297221770908336,1.0506686596018544
