unit,site,strength_lionessglasso,strength_bonobo_pyskel,mean_weight_bonobo,sum_tu
Basin_Tajo,EUS_117,133.24755315150833,567.1198660832341,0.21693860708723123,0.10499658685273316
Basin_Tajo,EUS_118,116.43504906793152,570.6448531158325,0.22001088394864943,0.11330893772568083
Basin_Tajo,EUS_119,87.53360643803632,575.7371903920332,0.2343251148666107,0.08955934407537026
Basin_Tajo,EUS_120,88.05644843565071,576.2284775413599,0.24410160081004836,0.05015794074966663
Basin_Tajo,EUS_121,108.81461635830384,568.9249847376885,0.2204493552876518,0.1439148466034754
Basin_Tajo,EUS_122,229.12808144274834,560.7476749016454,0.2120367175071779,0.1873351579219728
Basin_Tajo,EUS_123,179.85925092655188,573.9227747000615,0.21969805234514686,0.34686771100626246
Basin_Tajo,EUS_124,247.8220799861374,564.0461641178157,0.20478314406184794,0.09733421878784046
Basin_Tajo,EUS_125,227.5361509681726,558.2158296391993,0.21007713546811382,0.2022846221506106
Basin_Tajo,EUS_126,301.7962109056379,557.714359518774,0.20309106803735896,0.257356195381977
Basin_Tajo,EUS_127,150.9387288200691,566.8910002921426,0.22036785247343038,0.13919974533992446
Basin_Tajo,EUS_128,71.00348495479086,581.023701079532,0.23418183597789058,0.0024340435787065036
Basin_Tajo,EUS_129,409.8987772033397,572.0670659723737,0.25104562550458837,1.0348236219218667
Basin_Tajo,EUS_130,83.92572721752452,581.1323683493094,0.23679917980206844,0.02497353549496207
Basin_Tajo,EUS_131,98.27693588351549,576.412754523708,0.21960139381046678,0.07589787384784344
Basin_Tajo,EUS_132,90.5024313568761,571.9626807784814,0.2287896329239724,0.06595712339769695
Basin_Tajo,EUS_133,95.63951037564182,575.3388755831734,0.22651205519371492,0.0679320928937891
Basin_Tajo,EUS_134,71.74747215603395,581.1680198563245,0.2532602627328639,0.0017835021959187103
Basin_Tajo,EUS_135,122.70526413142794,566.4015914749442,0.2276400036175663,0.3290775032137344
Basin_Tajo,EUS_136,86.68066682449958,575.2731186449919,0.23614487450183547,0.07279240078288234
Basin_Tajo,EUS_137,99.5309829684294,576.0490160611292,0.24209902771488304,0.0172952982700311
Basin_Tajo,EUS_138,141.3577340367601,568.6640554356222,0.22994466614214099,0.2528650312829823
Basin_Tajo,EUS_139,261.22590227198015,554.8591885574895,0.21073682202259786,0.03376464464568465
Basin_Tajo,EUS_140,220.81531516998444,624.052122541735,0.2683685492057257,2.8148029808363573
Basin_Tajo,EUS_141,227.12790281192062,623.651844861688,0.2559631576529531,2.9018801068199784
Basin_Tajo,EUS_142,282.0693023211977,554.4117145159181,0.21184047236788017,0.03238636771265903
Basin_Tajo,EUS_143,307.3803016431942,560.1327669568309,0.20274330163036222,0.03604660088921884
